Pos,No,Driver,Car,Lap,Time
1,28,Gerhard BergerBER,Ferrari,66,1:19.282
2,1,Alain ProstPRO,McLaren TAG,65,1:19.509
3,12,Ayrton SennaSEN,Lotus Honda,62,1:20.217
4,6,Nelson PiquetPIQ,Williams Honda,41,1:21.191
5,20,Thierry BoutsenBOU,Benetton Ford,50,1:21.535
6,19,Teo FabiFAB,Benetton Ford,45,1:21.821
7,8,Andrea de CesarisDEC,Brabham BMW,52,1:22.504
8,18,Eddie  CheeverCHE,Arrows Megatron,53,1:22.682
9,2,Stefan JohanssonJOH,McLaren TAG,45,1:22.807
10,5,Nigel MansellMAN,Williams Honda,12,1:22.834
11,27,Michele AlboretoALB,Ferrari,33,1:22.989
12,17,Derek WarwickWAR,Arrows Megatron,55,1:23.259
13,11,Satoru NakajimaNAK,Lotus Honda,63,1:23.828
14,7,Riccardo PatresePAT,Brabham BMW,12,1:24.433
15,24,Alessandro NanniniNAN,Minardi Motori Moderni,48,1:24.626
16,3,Jonathan  PalmerPAL,Tyrrell Ford,64,1:24.652
17,4,Philippe StreiffSTR,Tyrrell Ford,51,1:25.003
18,16,Ivan CapelliCAP,March Ford,64,1:25.012
19,9,Martin BrundleBRU,Zakspeed,28,1:25.760
20,25,Rene ArnouxARN,Ligier Megatron,21,1:26.131
21,21,Alex CaffiCAF,Osella Alfa Romeo,23,1:26.811
22,26,Piercarlo GhinzaniGHI,Ligier Megatron,20,1:26.811
23,23,Adrian CamposCAM,Minardi Motori Moderni,8,1:26.892
24,30,Philippe AlliotALL,Lola Ford,22,1:27.020
25,22,Franco ForiniFOR,Osella Alfa Romeo,20,1:29.223
