Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Honda,58,1:09.832
2,6,Nelson PiquetPIQ,Williams Honda,62,1:10.632
3,12,Ayrton SennaSEN,Lotus Honda,60,1:11.605
4,27,Michele AlboretoALB,Ferrari,49,1:12.846
5,1,Alain ProstPRO,McLaren TAG,47,1:13.346
6,11,Satoru NakajimaNAK,Lotus Honda,61,1:13.780
7,19,Teo FabiFAB,Benetton Ford,51,1:13.885
8,9,Martin BrundleBRU,Zakspeed,43,1:14.102
9,20,Thierry BoutsenBOU,Benetton Ford,54,1:14.162
10,17,Derek WarwickWAR,Arrows Megatron,53,1:14.210
11,18,Eddie  CheeverCHE,Arrows Megatron,42,1:14.346
12,2,Stefan JohanssonJOH,McLaren TAG,14,1:14.380
13,7,Riccardo PatresePAT,Brabham BMW,17,1:14.814
14,28,Gerhard BergerBER,Ferrari,7,1:14.879
15,8,Andrea de CesarisDEC,Brabham BMW,7,1:15.401
16,21,Alex CaffiCAF,Osella Alfa Romeo,28,1:17.347
17,24,Alessandro NanniniNAN,Minardi Motori Moderni,8,1:17.383
18,25,Rene ArnouxARN,Ligier Megatron,3,1:17.552
19,3,Jonathan  PalmerPAL,Tyrrell Ford,33,1:18.543
20,4,Philippe StreiffSTR,Tyrrell Ford,38,1:18.745
21,23,Adrian CamposCAM,Minardi Motori Moderni,32,1:18.859
22,30,Philippe AlliotALL,Lola Ford,7,1:18.924
23,16,Ivan CapelliCAP,March Ford,3,1:18.999
24,14,Pascal FabreFAB,AGS Ford,55,1:19.784
25,10,Christian DannerDAN,Zakspeed,28,1:19.848
