Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Mark WebberWEB,Red Bull Racing Renault,42,1:38.993,198.232
2,3,Lewis HamiltonHAM,McLaren Mercedes,48,1:40.415,195.424
3,4,Jenson ButtonBUT,McLaren Mercedes,39,1:40.623,195.021
4,14,Adrian SutilSUT,Force India Mercedes,54,1:41.157,193.991
5,8,Nico RosbergROS,Mercedes,41,1:41.166,193.974
6,7,Michael SchumacherMSC,Mercedes,46,1:41.215,193.880
7,10,Vitaly PetrovPET,Renault,50,1:41.261,193.792
8,1,Sebastian VettelVET,Red Bull Racing Renault,47,1:41.321,193.677
9,17,Sergio PerezPER,Sauber Ferrari,39,1:41.643,193.063
10,6,Felipe MassaMAS,Ferrari,39,1:41.678,192.997
11,18,Sebastien BuemiBUE,STR Ferrari,45,1:41.696,192.963
12,12,Pastor MaldonadoMAL,Williams Cosworth,46,1:41.702,192.951
13,11,Rubens BarrichelloBAR,Williams Cosworth,45,1:42.031,192.329
14,21,Jarno TrulliTRU,Lotus Renault,53,1:42.052,192.290
15,5,Fernando AlonsoALO,Ferrari,41,1:42.070,192.256
16,9,Nick HeidfeldHEI,Renault,51,1:42.406,191.625
17,16,Kamui KobayashiKOB,Sauber Ferrari,32,1:42.577,191.306
18,15,Paul di RestaDIR,Force India Mercedes,45,1:42.614,191.237
19,20,Heikki KovalainenKOV,Lotus Renault,45,1:42.672,191.129
20,23,Vitantonio LiuzziLIU,HRT Cosworth,52,1:43.384,189.812
21,24,Timo GlockGLO,Virgin Cosworth,54,1:44.381,187.999
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,45,1:44.806,187.237
23,19,Jaime AlguersuariALG,STR Ferrari,5,1:45.700,185.653
24,22,Narain KarthikeyanKAR,HRT Cosworth,41,1:46.081,184.986
