Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Mark WebberWEB,Red Bull Racing Renault,48,1:29.703,214.226
2,19,Jaime AlguersuariALG,STR Ferrari,57,1:29.894,213.771
3,1,Sebastian VettelVET,Red Bull Racing Renault,50,1:29.937,213.669
4,3,Lewis HamiltonHAM,McLaren Mercedes,48,1:30.108,213.264
5,9,Nick HeidfeldHEI,Renault,52,1:30.158,213.145
6,5,Fernando AlonsoALO,Ferrari,48,1:30.279,212.860
7,8,Nico RosbergROS,Mercedes,47,1:30.573,212.169
8,10,Vitaly PetrovPET,Renault,48,1:30.618,212.063
9,17,Sergio PerezPER,Sauber Ferrari,46,1:30.797,211.645
10,16,Kamui KobayashiKOB,Sauber Ferrari,45,1:31.038,211.085
11,6,Felipe MassaMAS,Ferrari,57,1:31.118,210.900
12,7,Michael SchumacherMSC,Mercedes,47,1:31.153,210.819
13,4,Jenson ButtonBUT,McLaren Mercedes,47,1:31.167,210.786
14,18,Sebastien BuemiBUE,STR Ferrari,44,1:31.360,210.341
15,12,Pastor MaldonadoMAL,Williams Cosworth,44,1:32.044,208.778
16,14,Adrian SutilSUT,Force India Mercedes,43,1:32.070,208.719
17,11,Rubens BarrichelloBAR,Williams Cosworth,46,1:32.079,208.699
18,15,Paul di RestaDIR,Force India Mercedes,40,1:32.519,207.706
19,20,Heikki KovalainenKOV,Lotus Renault,55,1:32.695,207.312
20,21,Jarno TrulliTRU,Lotus Renault,49,1:32.862,206.939
21,22,Narain KarthikeyanKAR,HRT Cosworth,51,1:33.948,204.547
22,23,Vitantonio LiuzziLIU,HRT Cosworth,41,1:34.699,202.925
23,25,Jerome d'AmbrosioDAM,Virgin Cosworth,55,1:34.971,202.343
