Pos,No,Driver,Car,Lap,Time,Avg speed
1,4,Jenson ButtonBUT,McLaren Mercedes,52,1:36.568,216.481
2,17,Sergio PerezPER,Sauber Ferrari,39,1:36.569,216.479
3,8,Nico RosbergROS,Mercedes,50,1:36.614,216.378
4,5,Fernando AlonsoALO,Ferrari,50,1:36.682,216.226
5,2,Mark WebberWEB,Red Bull Racing Renault,47,1:36.828,215.900
6,1,Sebastian VettelVET,Red Bull Racing Renault,52,1:36.916,215.704
7,10,Vitaly PetrovPET,Renault,47,1:37.053,215.399
8,19,Jaime AlguersuariALG,STR Ferrari,41,1:37.411,214.608
9,3,Lewis HamiltonHAM,McLaren Mercedes,49,1:37.645,214.093
10,12,Pastor MaldonadoMAL,Williams Cosworth,50,1:37.645,214.093
11,6,Felipe MassaMAS,Ferrari,50,1:37.800,213.754
12,7,Michael SchumacherMSC,Mercedes,53,1:37.916,213.501
13,15,Paul di RestaDIR,Force India Mercedes,43,1:37.970,213.383
14,14,Adrian SutilSUT,Force India Mercedes,43,1:38.133,213.029
15,9,Bruno SennaSEN,Renault,42,1:38.407,212.436
16,11,Rubens BarrichelloBAR,Williams Cosworth,53,1:39.080,210.993
17,20,Heikki KovalainenKOV,Lotus Renault,50,1:39.297,210.532
18,21,Jarno TrulliTRU,Lotus Renault,49,1:39.561,209.973
19,16,Kamui KobayashiKOB,Sauber Ferrari,44,1:39.724,209.630
20,22,Daniel RicciardoRIC,HRT Cosworth,49,1:41.437,206.090
21,24,Timo GlockGLO,Virgin Cosworth,46,1:41.704,205.549
22,25,Jerome d'AmbrosioDAM,Virgin Cosworth,45,1:41.794,205.367
23,18,Sebastien BuemiBUE,STR Ferrari,6,1:42.107,204.738
24,23,Vitantonio LiuzziLIU,HRT Cosworth,37,1:42.409,204.134
