Pos,No,Driver,Car,Laps,Time/retired,Pts
1,26,Stirling MossMOS,Vanwall,18,2:59:22.700,9
2,2,Juan Manuel FangioFAN,Maserati,18,+193.900s,6
3,6,Harry SchellSCH,Maserati,18,+406.800s,4
4,14,Masten GregoryGRE,Maserati,18,+496.500s,3
5,30,Stuart  Lewis-Evans LEW,Vanwall,17,+1 lap,2
6,8,Giorgio  Scarlatti SCA,Maserati,17,+1 lap,0
7,24,Jack BrabhamBRA,Cooper Climax,15,+3 laps,0
NC,10,Paco  GodiaGOD,Maserati,10,DNF,0
NC,20,Bruce  Halford HAL,Maserati,9,DNF,0
NC,34,Luigi MussoMUS,Ferrari,9,DNF,0
NC,16,Jo BonnierBON,Maserati,7,DNF,0
NC,4,Jean BehraBEH,Maserati,4,DNF,0
NC,22,Roy SalvadoriSAL,Cooper Climax,3,DNF,0
NC,12,Luigi PiottiPIO,Maserati,1,DNF,0
NC,18,Horace  Gould GOU,Maserati,1,DNF,0
NC,28,Tony BrooksBRO,Vanwall,1,DNF,0
