Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,37,1:17.070
2,6,Riccardo PatresePAT,Williams Renault,38,1:18.006
3,27,Jean AlesiALE,Ferrari,44,1:18.431
4,11,Mika HakkinenHAK,Lotus Ford,36,1:18.526
5,20,Martin BrundleBRU,Benetton Ford,34,1:18.636
6,26,Erik ComasCOM,Ligier Renault,41,1:18.660
7,30,Ukyo KatayamaKAT,Venturi Lamborghini,43,1:18.714
8,25,Thierry BoutsenBOU,Ligier Renault,43,1:19.139
9,12,Johnny HerbertHER,Lotus Ford,41,1:19.252
10,28,Ivan CapelliCAP,Ferrari,36,1:19.324
11,4,Andrea de CesarisDEC,Tyrrell Ilmor,43,1:19.525
12,9,Michele AlboretoALB,Footwork Mugen Honda,36,1:19.542
13,22,Pierluigi MartiniMAR,Dallara Ferrari,41,1:19.742
14,19,Michael SchumacherMSC,Benetton Ford,6,1:19.939
15,24,Gianni MorbidelliMOR,Minardi Lamborghini,43,1:19.944
16,21,Jyrki JarvilehtoJAR,Dallara Ferrari,42,1:20.133
17,2,Gerhard BergerBER,McLaren Honda,10,1:20.213
18,3,Olivier GrouillardGRO,Tyrrell Ilmor,40,1:20.222
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,13,1:20.965
20,32,Stefano ModenaMOD,Jordan Yamaha,24,1:21.070
21,16,Karl WendlingerWEN,March Ilmor,31,1:21.074
22,15,Gabriele TarquiniTAR,Fondmetal Ford,6,1:23.438
