Pos,No,Driver,Car,Lap,Time
1,2,Gerhard BergerBER,McLaren Honda,60,1:17.711
2,5,Nigel MansellMAN,Williams Renault,62,1:17.765
3,6,Riccardo PatresePAT,Williams Renault,59,1:17.920
4,19,Michael SchumacherMSC,Benetton Ford,62,1:18.056
5,4,Andrea de CesarisDEC,Tyrrell Ilmor,56,1:19.034
6,11,Mika HakkinenHAK,Lotus Ford,56,1:19.427
7,21,Jyrki JarvilehtoJAR,Dallara Ferrari,57,1:19.589
8,12,Johnny HerbertHER,Lotus Ford,58,1:19.634
9,25,Thierry BoutsenBOU,Ligier Renault,58,1:19.648
10,20,Martin BrundleBRU,Benetton Ford,38,1:19.688
11,26,Erik ComasCOM,Ligier Renault,61,1:20.200
12,24,Gianni MorbidelliMOR,Minardi Lamborghini,28,1:20.681
13,1,Ayrton SennaSEN,McLaren Honda,9,1:20.721
14,27,Jean AlesiALE,Ferrari,21,1:20.965
15,22,Pierluigi MartiniMAR,Dallara Ferrari,31,1:21.057
16,29,Bertrand GachotGAC,Venturi Lamborghini,61,1:21.364
17,30,Ukyo KatayamaKAT,Venturi Lamborghini,51,1:21.397
18,15,Gabriele TarquiniTAR,Fondmetal Ford,41,1:21.663
19,14,Andrea ChiesaCHI,Fondmetal Ford,36,1:22.143
20,9,Michele AlboretoALB,Footwork Mugen Honda,55,1:22.167
21,3,Olivier GrouillardGRO,Tyrrell Ilmor,8,1:22.521
22,32,Stefano ModenaMOD,Jordan Yamaha,17,1:23.003
23,23,Christian FittipaldiFIT,Minardi Lamborghini,2,1:25.880
