Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,63,1:18.308
2,6,Riccardo PatresePAT,Williams Renault,51,1:19.151
3,1,Ayrton SennaSEN,McLaren Honda,53,1:19.588
4,20,Martin BrundleBRU,Benetton Ford,46,1:20.005
5,19,Michael SchumacherMSC,Benetton Ford,44,1:20.291
6,11,Mika HakkinenHAK,Lotus Ford,40,1:20.658
7,2,Gerhard BergerBER,McLaren Honda,38,1:20.722
8,4,Andrea de CesarisDEC,Tyrrell Ilmor,56,1:21.898
9,28,Ivan CapelliCAP,Ferrari,27,1:22.620
10,17,Paul BelmondoBEL,March Ilmor,52,1:22.840
11,9,Michele AlboretoALB,Footwork Mugen Honda,30,1:23.094
12,27,Jean AlesiALE,Ferrari,13,1:23.307
13,30,Ukyo KatayamaKAT,Venturi Lamborghini,35,1:23.419
14,22,Pierluigi MartiniMAR,Dallara Ferrari,35,1:23.925
15,33,Mauricio GugelminGUG,Jordan Yamaha,37,1:23.970
16,8,Damon HillHIL,Brabham Judd,39,1:24.777
17,10,Aguri SuzukiSUZ,Footwork Mugen Honda,11,1:25.472
18,29,Bertrand GachotGAC,Venturi Lamborghini,12,1:25.486
19,16,Karl WendlingerWEN,March Ilmor,9,1:25.711
20,3,Olivier GrouillardGRO,Tyrrell Ilmor,9,1:25.996
21,32,Stefano ModenaMOD,Jordan Yamaha,9,1:26.724
22,14,Eric van de PoeleVAN,Fondmetal Ford,2,1:29.910
