Pos,No,Driver,Car,Lap,Time
1,2,Gerhard BergerBER,McLaren Honda,61,1:22.325
2,20,Martin BrundleBRU,Benetton Ford,43,1:22.328
3,19,Michael SchumacherMSC,Benetton Ford,61,1:22.352
4,6,Riccardo PatresePAT,Williams Renault,42,1:22.871
5,21,Jyrki JarvilehtoJAR,Dallara Ferrari,56,1:23.695
6,1,Ayrton SennaSEN,McLaren Honda,36,1:23.728
7,27,Jean AlesiALE,Ferrari,45,1:23.774
8,30,Ukyo KatayamaKAT,Venturi Lamborghini,60,1:23.853
9,22,Pierluigi MartiniMAR,Dallara Ferrari,65,1:23.856
10,3,Olivier GrouillardGRO,Tyrrell Ilmor,64,1:23.883
11,9,Michele AlboretoALB,Footwork Mugen Honda,66,1:23.906
12,23,Christian FittipaldiFIT,Minardi Lamborghini,63,1:24.206
13,26,Erik ComasCOM,Ligier Renault,61,1:24.258
14,16,Karl WendlingerWEN,March Ilmor,45,1:24.278
15,25,Thierry BoutsenBOU,Ligier Renault,48,1:24.284
16,4,Andrea de CesarisDEC,Tyrrell Ilmor,61,1:24.350
17,24,Gianni MorbidelliMOR,Minardi Lamborghini,53,1:24.371
18,12,Johnny HerbertHER,Lotus Ford,29,1:24.639
19,11,Mika HakkinenHAK,Lotus Ford,27,1:24.659
20,5,Nigel MansellMAN,Williams Renault,10,1:25.408
21,28,Ivan CapelliCAP,Ferrari,14,1:25.500
22,17,Paul BelmondoBEL,March Ilmor,32,1:25.860
23,32,Stefano ModenaMOD,Jordan Yamaha,36,1:26.349
24,29,Bertrand GachotGAC,Venturi Lamborghini,5,1:26.971
25,33,Mauricio GugelminGUG,Jordan Yamaha,14,1:27.223
