Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,44,1:40.646
2,6,Riccardo PatresePAT,Williams Renault,44,1:40.910
3,2,Gerhard BergerBER,McLaren Honda,34,1:42.280
4,20,Martin BrundleBRU,Benetton Ford,43,1:43.105
5,30,Ukyo KatayamaKAT,Venturi Lamborghini,43,1:43.233
6,11,Mika HakkinenHAK,Lotus Ford,34,1:43.288
7,4,Andrea de CesarisDEC,Tyrrell Ilmor,29,1:44.760
8,29,Bertrand GachotGAC,Venturi Lamborghini,33,1:44.960
9,12,Johnny HerbertHER,Lotus Ford,14,1:45.028
10,26,Erik ComasCOM,Ligier Renault,28,1:45.340
11,32,Stefano ModenaMOD,Jordan Yamaha,35,1:45.413
12,27,Jean AlesiALE,Ferrari,34,1:45.455
13,17,Emanuele NaspettiNAS,March Ilmor,35,1:45.613
14,23,Christian FittipaldiFIT,Minardi Lamborghini,34,1:45.638
15,22,Pierluigi MartiniMAR,Dallara Ferrari,33,1:45.650
16,28,Nicola LariniLAR,Ferrari,35,1:45.661
17,24,Gianni MorbidelliMOR,Minardi Lamborghini,38,1:45.827
18,21,Jyrki JarvilehtoJAR,Dallara Ferrari,33,1:45.846
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,32,1:45.928
20,19,Michael SchumacherMSC,Benetton Ford,10,1:46.218
21,1,Ayrton SennaSEN,McLaren Honda,2,1:46.229
22,9,Michele AlboretoALB,Footwork Mugen Honda,38,1:46.560
23,33,Mauricio GugelminGUG,Jordan Yamaha,19,1:47.633
24,16,Jan LammersLAM,March Ilmor,21,1:48.218
25,3,Olivier GrouillardGRO,Tyrrell Ilmor,6,1:48.225
26,25,Thierry BoutsenBOU,Ligier Renault,1,2:00.768
