Pos,No,Driver,Car,Lap,Time
1,6,Riccardo PatresePAT,Williams Renault,60,1:26.100
2,5,Nigel MansellMAN,Williams Renault,36,1:26.588
3,2,Gerhard BergerBER,McLaren Honda,31,1:27.250
4,20,Martin BrundleBRU,Benetton Ford,27,1:27.410
5,1,Ayrton SennaSEN,McLaren Honda,28,1:27.615
6,27,Jean AlesiALE,Ferrari,38,1:28.071
7,4,Andrea de CesarisDEC,Tyrrell Ilmor,55,1:28.802
8,9,Michele AlboretoALB,Footwork Mugen Honda,38,1:29.078
9,26,Erik ComasCOM,Ligier Renault,58,1:29.095
10,19,Michael SchumacherMSC,Benetton Ford,7,1:29.183
11,21,Jyrki JarvilehtoJAR,Dallara Ferrari,30,1:29.187
12,22,Pierluigi MartiniMAR,Dallara Ferrari,39,1:29.282
13,10,Aguri SuzukiSUZ,Footwork Mugen Honda,38,1:29.612
14,29,Bertrand GachotGAC,Venturi Lamborghini,28,1:29.659
15,25,Thierry BoutsenBOU,Ligier Renault,24,1:29.699
16,3,Olivier GrouillardGRO,Tyrrell Ilmor,38,1:29.739
17,28,Ivan CapelliCAP,Ferrari,10,1:29.832
18,17,Paul BelmondoBEL,March Ilmor,36,1:30.024
19,16,Karl WendlingerWEN,March Ilmor,19,1:30.369
20,30,Ukyo KatayamaKAT,Venturi Lamborghini,25,1:30.458
21,33,Mauricio GugelminGUG,Jordan Yamaha,38,1:30.560
22,24,Gianni MorbidelliMOR,Minardi Lamborghini,24,1:30.671
23,12,Johnny HerbertHER,Lotus Ford,4,1:30.976
24,15,Gabriele TarquiniTAR,Fondmetal Ford,24,1:31.064
25,23,Christian FittipaldiFIT,Minardi Lamborghini,6,1:31.944
26,32,Stefano ModenaMOD,Jordan Yamaha,20,1:31.953
