Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,10,1:42.503
2,2,Gerhard BergerBER,McLaren Honda,38,1:42.850
3,19,Michael SchumacherMSC,Benetton Ford,11,1:42.989
4,6,Riccardo PatresePAT,Williams Renault,10,1:43.148
5,1,Ayrton SennaSEN,McLaren Honda,38,1:43.176
6,27,Jean AlesiALE,Ferrari,43,1:43.469
7,28,Ivan CapelliCAP,Ferrari,11,1:44.032
8,16,Karl WendlingerWEN,March Ilmor,37,1:45.598
9,21,Jyrki JarvilehtoJAR,Dallara Ferrari,40,1:45.915
10,15,Gabriele TarquiniTAR,Fondmetal Ford,39,1:46.087
11,9,Michele AlboretoALB,Footwork Mugen Honda,40,1:46.196
12,22,Pierluigi MartiniMAR,Dallara Ferrari,37,1:46.713
13,11,Mika HakkinenHAK,Lotus Ford,38,1:47.017
14,10,Aguri SuzukiSUZ,Footwork Mugen Honda,37,1:47.233
15,29,Bertrand GachotGAC,Venturi Lamborghini,12,1:47.454
16,33,Mauricio GugelminGUG,Jordan Yamaha,12,1:47.713
17,12,Johnny HerbertHER,Lotus Ford,12,1:47.739
18,26,Erik ComasCOM,Ligier Renault,12,1:48.096
19,3,Olivier GrouillardGRO,Tyrrell Ilmor,10,1:48.296
20,17,Paul BelmondoBEL,March Ilmor,38,1:48.862
21,24,Gianni MorbidelliMOR,Minardi Lamborghini,10,1:49.661
22,14,Andrea ChiesaCHI,Fondmetal Ford,22,1:49.793
23,23,Christian FittipaldiFIT,Minardi Lamborghini,33,1:50.019
24,20,Martin BrundleBRU,Benetton Ford,2,1:50.461
25,25,Thierry BoutsenBOU,Ligier Renault,8,1:51.586
26,4,Andrea de CesarisDEC,Tyrrell Ilmor,1,2:14.087
