Pos,No,Driver,Car,Lap,Time
1,19,Michael SchumacherMSC,Benetton Ford,39,1:53.791
2,1,Ayrton SennaSEN,McLaren Honda,42,1:54.088
3,5,Nigel MansellMAN,Williams Renault,38,1:55.294
4,11,Mika HakkinenHAK,Lotus Ford,42,1:55.929
5,12,Johnny HerbertHER,Lotus Ford,42,1:56.254
6,21,Jyrki JarvilehtoJAR,Dallara Ferrari,40,1:56.676
7,6,Riccardo PatresePAT,Williams Renault,39,1:57.387
8,20,Martin BrundleBRU,Benetton Ford,41,1:57.398
9,16,Karl WendlingerWEN,March Ilmor,39,1:57.817
10,29,Bertrand GachotGAC,Venturi Lamborghini,39,1:57.954
11,14,Eric van de PoeleVAN,Fondmetal Ford,42,1:59.097
12,4,Andrea de CesarisDEC,Tyrrell Ilmor,39,1:59.376
13,10,Aguri SuzukiSUZ,Footwork Mugen Honda,39,1:59.482
14,30,Ukyo KatayamaKAT,Venturi Lamborghini,40,1:59.914
15,24,Gianni MorbidelliMOR,Minardi Lamborghini,39,2:00.755
16,17,Emanuele NaspettiNAS,March Ilmor,38,2:01.032
17,33,Mauricio GugelminGUG,Jordan Yamaha,40,2:01.067
18,32,Stefano ModenaMOD,Jordan Yamaha,39,2:03.615
19,27,Jean AlesiALE,Ferrari,1,2:15.494
20,25,Thierry BoutsenBOU,Ligier Renault,25,2:16.745
21,15,Gabriele TarquiniTAR,Fondmetal Ford,19,2:16.893
22,28,Ivan CapelliCAP,Ferrari,25,2:16.933
23,9,Michele AlboretoALB,Footwork Mugen Honda,19,2:17.039
24,3,Olivier GrouillardGRO,Tyrrell Ilmor,1,2:23.952
