Pos,No,Driver,Car,Lap,Time
1,19,Michael SchumacherMSC,Benetton Ford,68,1:16.078
2,2,Gerhard BergerBER,McLaren Honda,69,1:16.807
3,1,Ayrton SennaSEN,McLaren Honda,15,1:17.818
4,5,Nigel MansellMAN,Williams Renault,15,1:17.823
5,20,Martin BrundleBRU,Benetton Ford,66,1:17.877
6,6,Riccardo PatresePAT,Williams Renault,50,1:18.069
7,25,Thierry BoutsenBOU,Ligier Renault,62,1:18.398
8,12,Johnny HerbertHER,Lotus Ford,77,1:18.572
9,32,Stefano ModenaMOD,Jordan Yamaha,68,1:18.888
10,11,Mika HakkinenHAK,Lotus Ford,69,1:18.950
11,23,Christian FittipaldiFIT,Minardi Lamborghini,70,1:18.956
12,10,Aguri SuzukiSUZ,Footwork Mugen Honda,60,1:19.092
13,27,Jean AlesiALE,Ferrari,65,1:19.119
14,28,Nicola LariniLAR,Ferrari,75,1:19.202
15,21,Jyrki JarvilehtoJAR,Dallara Ferrari,65,1:19.407
16,16,Jan LammersLAM,March Ilmor,34,1:19.568
17,24,Gianni MorbidelliMOR,Minardi Lamborghini,78,1:19.737
18,29,Bertrand GachotGAC,Venturi Lamborghini,48,1:19.895
19,4,Andrea de CesarisDEC,Tyrrell Ilmor,29,1:20.607
20,17,Emanuele NaspettiNAS,March Ilmor,41,1:21.053
21,30,Ukyo KatayamaKAT,Venturi Lamborghini,28,1:21.502
22,33,Mauricio GugelminGUG,Jordan Yamaha,7,1:22.318
23,26,Erik ComasCOM,Ligier Renault,3,1:24.629
