Pos,No,Driver,Car,Lap,Time
1,5,Nigel MansellMAN,Williams Renault,57,1:22.539
2,19,Michael SchumacherMSC,Benetton Ford,58,1:24.344
3,2,Gerhard BergerBER,McLaren Honda,56,1:24.875
4,6,Riccardo PatresePAT,Williams Renault,48,1:25.519
5,1,Ayrton SennaSEN,McLaren Honda,45,1:25.825
6,20,Martin BrundleBRU,Benetton Ford,45,1:25.859
7,27,Jean AlesiALE,Ferrari,36,1:26.035
8,15,Gabriele TarquiniTAR,Fondmetal Ford,48,1:26.483
9,11,Mika HakkinenHAK,Lotus Ford,46,1:26.555
10,28,Ivan CapelliCAP,Ferrari,43,1:26.871
11,26,Erik ComasCOM,Ligier Renault,54,1:27.160
12,12,Johnny HerbertHER,Lotus Ford,30,1:27.428
13,22,Pierluigi MartiniMAR,Dallara Ferrari,56,1:27.495
14,21,Jyrki JarvilehtoJAR,Dallara Ferrari,42,1:27.605
15,9,Michele AlboretoALB,Footwork Mugen Honda,50,1:27.869
16,3,Olivier GrouillardGRO,Tyrrell Ilmor,38,1:28.205
17,32,Stefano ModenaMOD,Jordan Yamaha,43,1:28.322
18,4,Andrea de CesarisDEC,Tyrrell Ilmor,45,1:28.416
19,10,Aguri SuzukiSUZ,Footwork Mugen Honda,39,1:28.514
20,24,Gianni MorbidelliMOR,Minardi Lamborghini,44,1:28.541
21,25,Thierry BoutsenBOU,Ligier Renault,27,1:28.681
22,29,Bertrand GachotGAC,Venturi Lamborghini,27,1:29.073
23,33,Mauricio GugelminGUG,Jordan Yamaha,36,1:29.627
24,8,Damon HillHIL,Brabham Judd,40,1:29.929
25,30,Ukyo KatayamaKAT,Venturi Lamborghini,26,1:30.128
26,16,Karl WendlingerWEN,March Ilmor,21,1:30.198
