Pos,No,Driver,Car,Time,Gap,Laps
1,5,Damon HillHIL,Williams Renault,1:18.682,,22
2,8,Mika HakkinenHAK,McLaren Mercedes,1:18.726,+0.044s,22
3,1,Michael SchumacherMSC,Benetton Renault,1:18.790,+0.108s,20
4,6,David CoulthardCOU,Williams Renault,1:18.876,+0.194s,19
5,28,Gerhard BergerBER,Ferrari,1:19.201,+0.519s,20
6,15,Eddie IrvineIRV,Jordan Peugeot,1:19.782,+1.100s,21
7,26,Olivier PanisPAN,Ligier Mugen Honda,1:19.973,+1.291s,23
8,27,Jean AlesiALE,Ferrari,1:20.021,+1.339s,7
9,14,Rubens BarrichelloBAR,Jordan Peugeot,1:20.251,+1.569s,19
10,2,Johnny HerbertHER,Benetton Renault,1:20.451,+1.769s,23
11,7,Mark BlundellBLU,McLaren Mercedes,1:20.785,+2.103s,21
12,25,Martin BrundleBRU,Ligier Mugen Honda,1:20.851,+2.169s,22
13,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:21.011,+2.329s,17
14,23,Pedro LamyLAM,Minardi Ford,1:21.638,+2.956s,23
15,24,Luca BadoerBAD,Minardi Ford,1:21.754,+3.072s,23
16,4,Mika SaloSAL,Tyrrell Yamaha,1:22.034,+3.352s,22
17,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:22.123,+3.441s,22
18,29,Jean-Christophe BoullionBOU,Sauber Ford,1:22.518,+3.836s,18
19,10,Taki InoueINO,Footwork Hart,1:23.173,+4.491s,23
20,9,Massimiliano PapisPAP,Footwork Hart,1:23.325,+4.643s,10
21,22,Roberto MorenoMOR,Forti Ford,1:24.889,+6.207s,13
22,17,Andrea MonterminiMON,Pacific Ilmor,1:25.081,+6.399s,12
23,21,Pedro DinizDIN,Forti Ford,1:25.389,+6.707s,21
24,16,Giovanni LavaggiLAV,Pacific Ilmor,1:27.871,+9.189s,14
