Pos,No,Driver,Car,Time,Gap,Laps
1,1,Michael SchumacherMSC,Benetton Renault,1:31.376,,21
2,5,Damon HillHIL,Williams Renault,1:31.595,+0.219s,20
3,6,David CoulthardCOU,Williams Renault,1:32.136,+0.760s,20
4,27,Jean AlesiALE,Ferrari,1:32.383,+1.007s,22
5,8,Mika HakkinenHAK,McLaren Mercedes,1:32.440,+1.064s,21
6,15,Eddie IrvineIRV,Jordan Peugeot,1:33.510,+2.134s,23
7,28,Gerhard BergerBER,Ferrari,1:33.554,+2.178s,20
8,14,Rubens BarrichelloBAR,Jordan Peugeot,1:34.080,+2.704s,8
9,26,Olivier PanisPAN,Ligier Mugen Honda,1:34.174,+2.798s,18
10,4,Mika SaloSAL,Tyrrell Yamaha,1:34.310,+2.934s,19
11,7,Mark BlundellBLU,McLaren Mercedes,1:34.317,+2.941s,22
12,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:34.876,+3.500s,23
13,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:35.129,+3.753s,20
14,2,Johnny HerbertHER,Benetton Renault,1:35.372,+3.996s,13
15,9,Gianni MorbidelliMOR,Footwork Hart,1:35.502,+4.126s,13
16,10,Taki InoueINO,Footwork Hart,1:35.637,+4.261s,20
17,29,Karl WendlingerWEN,Sauber Ford,1:35.659,+4.283s,23
18,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:35.669,+4.293s,16
19,12,Jos VerstappenVER,Simtek Ford,1:37.034,+5.658s,11
20,23,Pierluigi MartiniMAR,Minardi Ford,1:37.336,+5.960s,14
21,17,Andrea MonterminiMON,Pacific Ilmor,1:37.388,+6.012s,18
22,24,Luca BadoerBAD,Minardi Ford,1:38.162,+6.786s,6
23,22,Roberto MorenoMOR,Forti Ford,1:38.319,+6.943s,13
24,16,Bertrand GachotGAC,Pacific Ilmor,1:38.355,+6.979s,19
25,11,Domenico SchiattarellaSCH,Simtek Ford,1:38.633,+7.257s,14
26,21,Pedro DinizDIN,Forti Ford,1:39.211,+7.835s,23
