Pos,No,Driver,Car,Time,Gap,Laps
1,5,Damon HillHIL,Williams Renault,1:28.251,,22
2,6,David CoulthardCOU,Williams Renault,1:28.339,+0.088s,23
3,8,Mika HakkinenHAK,McLaren Mercedes,1:28.913,+0.662s,19
4,27,Jean AlesiALE,Ferrari,1:29.080,+0.829s,22
5,1,Michael SchumacherMSC,Benetton Renault,1:29.153,+0.902s,14
6,28,Gerhard BergerBER,Ferrari,1:29.497,+1.246s,20
7,14,Rubens BarrichelloBAR,Jordan Peugeot,1:29.598,+1.347s,22
8,15,Eddie IrvineIRV,Jordan Peugeot,1:29.925,+1.674s,22
9,26,Olivier PanisPAN,Ligier Mugen Honda,1:30.864,+2.613s,23
10,9,Gianni MorbidelliMOR,Footwork Hart,1:31.476,+3.225s,11
11,2,Johnny HerbertHER,Benetton Renault,1:31.481,+3.230s,13
12,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:31.603,+3.352s,23
13,7,Nigel MansellMAN,McLaren Mercedes,1:31.716,+3.465s,8
14,25,Aguri SuzukiSUZ,Ligier Mugen Honda,1:31.910,+3.659s,23
15,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:32.107,+3.856s,16
16,12,Jos VerstappenVER,Simtek Ford,1:32.237,+3.986s,20
17,4,Mika SaloSAL,Tyrrell Yamaha,1:32.435,+4.184s,20
18,24,Luca BadoerBAD,Minardi Ford,1:33.532,+5.281s,21
19,11,Domenico SchiattarellaSCH,Simtek Ford,1:33.726,+5.475s,11
20,17,Andrea MonterminiMON,Pacific Ilmor,1:33.766,+5.515s,14
21,29,Karl WendlingerWEN,Sauber Ford,1:34.155,+5.904s,23
22,22,Roberto MorenoMOR,Forti Ford,1:35.277,+7.026s,22
23,23,Pierluigi MartiniMAR,Minardi Ford,1:35.473,+7.222s,7
24,16,Bertrand GachotGAC,Pacific Ilmor,1:35.715,+7.464s,7
25,21,Pedro DinizDIN,Forti Ford,1:37.133,+8.882s,15
26,10,Taki InoueINO,Footwork Hart,1:58.327,+30.076s,2
