Pos,No,Driver,Car,Time,Gap,Laps
1,27,Jean AlesiALE,Ferrari,1:25.133,,19
2,6,David CoulthardCOU,Williams Renault,1:25.135,+0.002s,21
3,28,Gerhard BergerBER,Ferrari,1:25.221,+0.088s,20
4,1,Michael SchumacherMSC,Benetton Renault,1:25.919,+0.786s,19
5,8,Mika HakkinenHAK,McLaren Mercedes,1:26.186,+1.053s,21
6,5,Damon HillHIL,Williams Renault,1:26.222,+1.089s,22
7,2,Johnny HerbertHER,Benetton Renault,1:26.387,+1.254s,22
8,15,Eddie IrvineIRV,Jordan Peugeot,1:26.505,+1.372s,20
9,14,Rubens BarrichelloBAR,Jordan Peugeot,1:26.580,+1.447s,22
10,7,Mark BlundellBLU,McLaren Mercedes,1:26.792,+1.659s,19
11,30,Heinz-Harald FrentzenFRE,Sauber Ford,1:27.056,+1.923s,20
12,26,Olivier PanisPAN,Ligier Mugen Honda,1:27.765,+2.632s,15
13,25,Martin BrundleBRU,Ligier Mugen Honda,1:27.821,+2.688s,23
14,4,Mika SaloSAL,Tyrrell Yamaha,1:28.471,+3.338s,23
15,9,Massimiliano PapisPAP,Footwork Hart,1:28.553,+3.420s,15
16,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:29.391,+4.258s,23
17,24,Luca BadoerBAD,Minardi Ford,1:30.084,+4.951s,22
18,10,Taki InoueINO,Footwork Hart,1:30.268,+5.135s,18
19,17,Andrea MonterminiMON,Pacific Ilmor,1:30.782,+5.649s,11
20,29,Jean-Christophe BoullionBOU,Sauber Ford,1:30.973,+5.840s,10
21,22,Roberto MorenoMOR,Forti Ford,1:31.092,+5.959s,14
22,23,Pedro LamyLAM,Minardi Ford,1:31.205,+6.072s,14
23,21,Pedro DinizDIN,Forti Ford,1:31.887,+6.754s,22
24,16,Giovanni LavaggiLAV,Pacific Ilmor,1:32.580,+7.447s,15
