Pos,No,Driver,Car,Time
1,2,Ronnie PetersonPET,Lotus Ford,1:23.810
2,6,Francois  Cevert CEV,Tyrrell Ford,1:23.899
3,5,Jackie StewartSTE,Tyrrell Ford,1:23.912
4,1,Emerson FittipaldiFIT,Lotus Ford,1:24.084
5,10,Carlos ReutemannREU,Brabham Ford,1:24.489
6,7,Denny HulmeHUL,McLaren Ford,1:24.625
7,8,Peter   RevsonREV,McLaren Ford,1:24.937
8,3,Jacky IckxICK,Ferrari,1:25.604
9,20,Jean-Pierre BeltoiseBEL,BRM,1:25.738
10,23,Mike HailwoodHAI,Surtees Ford,1:25.776
11,25,Howden  Ganley GAN,Iso Marlboro Ford,1:25.800
12,19,Clay RegazzoniREG,BRM,1:25.995
13,11,Wilson FittipaldiFIT,Brabham Ford,1:26.127
14,27,Reine   WisellWIS,March Ford,1:26.187
15,21,Niki LaudaLAU,BRM,1:26.211
16,24,Carlos PacePAC,Surtees Ford,1:26.255
17,17,Jackie OliverOLI,Shadow Ford,1:26.305
18,12,Graham HillHIL,Shadow Ford,1:26.382
19,16,George  Follmer FOL,Shadow Ford,1:26.632
20,14,Jean-Pierre JarierJAR,March Ford,1:26.874
21,15,Mike  Beuttler BEU,March Ford,1:28.580
