Pos,No,Driver,Car,Time
1,1,Emerson FittipaldiFIT,Lotus Ford,1:34.980
2,2,Ronnie PetersonPET,Lotus Ford,1:35.370
3,7,Denny HulmeHUL,McLaren Ford,1:35.690
4,8,Peter   RevsonREV,McLaren Ford,1:35.860
5,10,Carlos ReutemannREU,Brabham Ford,1:36.010
6,4,Arturo MerzarioMER,Ferrari,1:36.420
7,5,Jackie StewartSTE,Tyrrell Ford,1:36.440
8,24,Carlos PacePAC,Surtees Ford,1:36.480
9,27,James HuntHUN,March Ford,1:36.630
10,6,Francois  Cevert CEV,Tyrrell Ford,1:36.770
11,15,Mike  Beuttler BEU,March Ford,1:36.830
12,18,Jean-Pierre JarierJAR,March Ford,1:36.930
13,20,Jean-Pierre BeltoiseBEL,BRM,1:37.460
14,19,Clay RegazzoniREG,BRM,1:37.520
15,23,Mike HailwoodHAI,Surtees Ford,1:37.600
16,11,Wilson FittipaldiFIT,Brabham Ford,1:37.810
17,9,Rolf StommelenSTO,Brabham Ford,1:37.850
18,17,Jackie OliverOLI,Shadow Ford,1:37.970
19,28,Rikky von OpelVON,Ensign Ford,1:38.220
20,16,George  Follmer FOL,Shadow Ford,1:38.300
21,25,Howden  Ganley GAN,Iso Marlboro Ford,1:39.380
22,12,Graham HillHIL,Shadow Ford,1:39.500
23,26,Gijs van LennepVAN,Iso Marlboro Ford,1:41.040
