Pos,No,Driver,Car,Time
1,2,Ronnie PetersonPET,Lotus Ford,1:21.800
2,5,Denny HulmeHUL,McLaren Ford,1:22.500
3,4,Francois  Cevert CEV,Tyrrell Ford,1:22.700
4,3,Jackie StewartSTE,Tyrrell Ford,1:23.200
5,6,Peter   RevsonREV,McLaren Ford,1:23.400
6,7,Jacky IckxICK,Ferrari,1:23.500
7,1,Emerson FittipaldiFIT,Lotus Ford,1:23.700
8,14,Clay RegazzoniREG,BRM,1:23.700
9,9,Mike HailwoodHAI,Surtees Ford,1:24.200
10,15,Jean-Pierre BeltoiseBEL,BRM,1:24.200
11,16,Niki LaudaLAU,BRM,1:24.400
12,17,Wilson FittipaldiFIT,Brabham Ford,1:24.500
13,19,Jackie OliverOLI,Shadow Ford,1:24.600
14,20,George  Follmer FOL,Shadow Ford,1:24.700
15,18,Carlos ReutemannREU,Brabham Ford,1:24.700
16,10,Carlos PacePAC,Surtees Ford,1:25.000
17,21,Andrea de Adamich DEA,Brabham Ford,1:25.200
18,11,Henri PescaroloPES,March Ford,1:26.100
19,12,Mike  Beuttler BEU,March Ford,1:26.200
20,24,Nanni  Galli GAL,Iso Marlboro Ford,1:26.300
21,23,Howden  Ganley GAN,Iso Marlboro Ford,1:26.500
22,25,Graham HillHIL,Shadow Ford,1:30.300
