Pos,No,Driver,Car,Time,Gap,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:25.722,,35
2,2,Mark WebberWEB,Red Bull Racing Renault,1:26.011,+0.289s,38
3,8,Romain GrosjeanGRO,Lotus Renault,1:26.220,+0.498s,36
4,10,Lewis HamiltonHAM,Mercedes,1:26.399,+0.677s,36
5,3,Fernando AlonsoALO,Ferrari,1:26.430,+0.708s,39
6,9,Nico RosbergROS,Mercedes,1:26.582,+0.860s,40
7,4,Felipe MassaMAS,Ferrari,1:26.601,+0.879s,41
8,7,Kimi RäikkönenRAI,Lotus Renault,1:26.632,+0.910s,32
9,6,Sergio PerezPER,McLaren Mercedes,1:26.857,+1.135s,40
10,5,Jenson ButtonBUT,McLaren Mercedes,1:26.972,+1.250s,39
11,19,Daniel RicciardoRIC,STR Ferrari,1:27.304,+1.582s,17
12,15,Adrian SutilSUT,Force India Mercedes,1:27.375,+1.653s,36
13,17,Valtteri BottasBOT,Williams Renault,1:27.429,+1.707s,31
14,11,Nico HulkenbergHUL,Sauber Ferrari,1:27.491,+1.769s,40
15,14,Paul di RestaDIR,Force India Mercedes,1:27.608,+1.886s,38
16,16,Pastor MaldonadoMAL,Williams Renault,1:27.720,+1.998s,23
17,12,Esteban Gutierrez GUT,Sauber Ferrari,1:27.949,+2.227s,34
18,18,Jean-Eric VergneVER,STR Ferrari,1:28.431,+2.709s,30
19,21,Giedo van der GardeVDG,Caterham Renault,1:28.692,+2.970s,39
20,22,Jules BianchiBIA,Marussia Cosworth,1:28.799,+3.077s,32
21,20,Charles PicPIC,Caterham Renault,1:29.366,+3.644s,37
22,23,Max ChiltonCHI,Marussia Cosworth,1:30.164,+4.442s,27
