Pos,No,Driver,Car,Time,Gap,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:49.331,,22
2,2,Mark WebberWEB,Red Bull Racing Renault,1:49.390,+0.059s,34
3,8,Romain GrosjeanGRO,Lotus Renault,1:50.149,+0.818s,34
4,4,Felipe MassaMAS,Ferrari,1:50.164,+0.833s,27
5,18,Jean-Eric VergneVER,STR Ferrari,1:50.253,+0.922s,28
6,7,Kimi RäikkönenRAI,Lotus Renault,1:50.318,+0.987s,33
7,3,Fernando AlonsoALO,Ferrari,1:50.510,+1.179s,21
8,6,Sergio PerezPER,McLaren Mercedes,1:50.536,+1.205s,27
9,9,Nico RosbergROS,Mercedes,1:50.601,+1.270s,33
10,14,Paul di RestaDIR,Force India Mercedes,1:50.611,+1.280s,27
11,15,Adrian SutilSUT,Force India Mercedes,1:50.629,+1.298s,30
12,10,Lewis HamiltonHAM,Mercedes,1:50.751,+1.420s,27
13,11,Nico HulkenbergHUL,Sauber Ferrari,1:50.972,+1.641s,33
14,16,Pastor MaldonadoMAL,Williams Renault,1:50.991,+1.660s,28
15,5,Jenson ButtonBUT,McLaren Mercedes,1:51.195,+1.864s,28
16,19,Daniel RicciardoRIC,STR Ferrari,1:51.447,+2.116s,26
17,17,Valtteri BottasBOT,Williams Renault,1:51.568,+2.237s,28
18,12,Esteban Gutierrez GUT,Sauber Ferrari,1:51.644,+2.313s,26
19,21,Giedo van der GardeVDG,Caterham Renault,1:53.157,+3.826s,21
20,20,Charles PicPIC,Caterham Renault,1:53.251,+3.920s,29
21,22,Jules BianchiBIA,Marussia Cosworth,1:53.482,+4.151s,28
22,23,Max ChiltonCHI,Marussia Cosworth,1:54.418,+5.087s,12
