Pos,No,Driver,Car,Time,Gap,Laps
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:44.249,,34
2,2,Mark WebberWEB,Red Bull Racing Renault,1:44.853,+0.604s,30
3,9,Nico RosbergROS,Mercedes,1:45.258,+1.009s,34
4,10,Lewis HamiltonHAM,Mercedes,1:45.368,+1.119s,33
5,8,Romain GrosjeanGRO,Lotus Renault,1:45.411,+1.162s,18
6,3,Fernando AlonsoALO,Ferrari,1:45.691,+1.442s,32
7,5,Jenson ButtonBUT,McLaren Mercedes,1:45.754,+1.505s,30
8,7,Kimi RäikkönenRAI,Lotus Renault,1:45.778,+1.529s,32
9,15,Adrian SutilSUT,Force India Mercedes,1:46.002,+1.753s,27
10,6,Sergio PerezPER,McLaren Mercedes,1:46.025,+1.776s,31
11,19,Daniel RicciardoRIC,STR Ferrari,1:46.406,+2.157s,34
12,18,Jean-Eric VergneVER,STR Ferrari,1:46.429,+2.180s,33
13,14,Paul di RestaDIR,Force India Mercedes,1:46.606,+2.357s,33
14,11,Nico HulkenbergHUL,Sauber Ferrari,1:46.808,+2.559s,36
15,4,Felipe MassaMAS,Ferrari,1:46.870,+2.621s,33
16,12,Esteban Gutierrez GUT,Sauber Ferrari,1:47.287,+3.038s,29
17,17,Valtteri BottasBOT,Williams Renault,1:47.434,+3.185s,33
18,16,Pastor MaldonadoMAL,Williams Renault,1:47.761,+3.512s,25
19,21,Giedo van der GardeVDG,Caterham Renault,1:49.434,+5.185s,34
20,20,Charles PicPIC,Caterham Renault,1:49.526,+5.277s,34
21,23,Max ChiltonCHI,Marussia Cosworth,1:49.619,+5.370s,33
22,22,Jules BianchiBIA,Marussia Cosworth,1:49.731,+5.482s,30
