Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:19.748,
2,2,Gerhard BergerBER,McLaren Honda,1:19.951,+0.203s
3,6,Riccardo PatresePAT,Williams Renault,1:20.541,+0.793s
4,1,Ayrton SennaSEN,McLaren Honda,1:20.576,+0.828s
5,19,Michael SchumacherMSC,Benetton Ford,1:21.253,+1.505s
6,22,Jyrki JarvilehtoJAR,Dallara Judd,1:21.415,+1.667s
7,20,Nelson PiquetPIQ,Benetton Ford,1:21.515,+1.767s
8,4,Stefano ModenaMOD,Tyrrell Honda,1:21.915,+2.167s
9,15,Mauricio GugelminGUG,Leyton House Ilmor,1:21.955,+2.207s
10,16,Ivan CapelliCAP,Leyton House Ilmor,1:21.983,+2.235s
11,8,Mark BlundellBLU,Brabham Yamaha,1:22.030,+2.282s
12,33,Andrea de CesarisDEC,Jordan Ford,1:22.043,+2.295s
13,24,Gianni MorbidelliMOR,Minardi Ferrari,1:22.719,+2.971s
14,28,Jean AlesiALE,Ferrari,1:22.740,+2.992s
15,23,Pierluigi MartiniMAR,Minardi Ferrari,1:22.743,+2.995s
16,27,Alain ProstPRO,Ferrari,1:22.786,+3.038s
17,3,Satoru NakajimaNAK,Tyrrell Honda,1:22.821,+3.073s
18,32,Alessandro ZanardiZAN,Jordan Ford,1:23.083,+3.335s
19,7,Martin BrundleBRU,Brabham Yamaha,1:23.179,+3.431s
20,9,Michele AlboretoALB,Footwork Porsche,1:23.200,+3.452s
21,26,Erik ComasCOM,Ligier Lamborghini,1:23.240,+3.492s
22,29,Eric BernardBER,Lola Ford,1:23.287,+3.539s
23,30,Aguri SuzukiSUZ,Lola Ford,1:23.317,+3.569s
24,21,Emanuele PirroPIR,Dallara Judd,1:24.242,+4.494s
25,14,Gabriele TarquiniTAR,Fondmetal Ford,1:24.450,+4.702s
26,25,Thierry BoutsenBOU,Ligier Lamborghini,1:25.257,+5.509s
27,11,Mika HakkinenHAK,Lotus Judd,1:25.634,+5.886s
28,12,Michael BartelsBAR,Lotus Judd,1:26.208,+6.460s
29,34,Nicola LariniLAR,Lambo Lamborghini,1:26.281,+6.533s
30,35,Eric van de PoeleVAN,Lambo Lamborghini,1:27.271,+7.523s
