Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:17.829,
2,5,Nigel MansellMAN,Williams Renault,1:17.980,+0.151s
3,6,Riccardo PatresePAT,Williams Renault,1:18.348,+0.519s
4,28,Jean AlesiALE,Ferrari,1:18.504,+0.675s
5,20,Nelson PiquetPIQ,Benetton Ford,1:18.990,+1.161s
6,19,Roberto MorenoMOR,Benetton Ford,1:19.616,+1.787s
7,2,Gerhard BergerBER,McLaren Honda,1:19.729,+1.900s
8,33,Andrea de CesarisDEC,Jordan Ford,1:19.811,+1.982s
9,16,Ivan CapelliCAP,Leyton House Ilmor,1:20.030,+2.201s
10,24,Gianni MorbidelliMOR,Minardi Ferrari,1:20.087,+2.258s
11,23,Pierluigi MartiniMAR,Minardi Ferrari,1:20.265,+2.436s
12,7,Martin BrundleBRU,Brabham Yamaha,1:20.398,+2.569s
13,14,Olivier GrouillardGRO,Fondmetal Ford,1:20.484,+2.655s
14,29,Eric BernardBER,Lola Ford,1:20.509,+2.680s
15,27,Alain ProstPRO,Ferrari,1:20.656,+2.827s
16,30,Aguri SuzukiSUZ,Lola Ford,1:20.657,+2.828s
17,11,Mika HakkinenHAK,Lotus Judd,1:20.716,+2.887s
18,22,Jyrki JarvilehtoJAR,Dallara Judd,1:21.029,+3.200s
19,12,Johnny HerbertHER,Lotus Judd,1:21.067,+3.238s
20,4,Stefano ModenaMOD,Tyrrell Honda,1:21.127,+3.298s
21,32,Bertrand GachotGAC,Jordan Ford,1:21.207,+3.378s
22,15,Mauricio GugelminGUG,Leyton House Ilmor,1:21.226,+3.397s
23,25,Thierry BoutsenBOU,Ligier Lamborghini,1:21.337,+3.508s
24,8,Mark BlundellBLU,Brabham Yamaha,1:21.338,+3.509s
25,17,Gabriele TarquiniTAR,AGS Ford,1:21.647,+3.818s
26,3,Satoru NakajimaNAK,Tyrrell Honda,1:21.952,+4.123s
27,26,Erik ComasCOM,Ligier Lamborghini,1:22.630,+4.801s
28,9,Michele AlboretoALB,Footwork Porsche,1:23.188,+5.359s
29,18,Fabrizio BarbazzaBAR,AGS Ford,1:23.442,+5.613s
30,10,Stefan JohanssonJOH,Footwork Porsche,1:24.412,+6.583s
