Pos,No,Driver,Car,Time,Gap
1,2,Gerhard BergerBER,McLaren Honda,1:50.343,
2,1,Ayrton SennaSEN,McLaren Honda,1:51.291,+0.948s
3,28,Jean AlesiALE,Ferrari,1:52.298,+1.955s
4,27,Alain ProstPRO,Ferrari,1:52.535,+2.192s
5,5,Nigel MansellMAN,Williams Renault,1:53.594,+3.251s
6,23,Pierluigi MartiniMAR,Minardi Ferrari,1:53.983,+3.640s
7,16,Ivan CapelliCAP,Leyton House Ilmor,1:54.012,+3.669s
8,33,Andrea de CesarisDEC,Jordan Ford,1:54.794,+4.451s
9,4,Stefano ModenaMOD,Tyrrell Honda,1:54.804,+4.461s
10,24,Gianni MorbidelliMOR,Minardi Ferrari,1:55.093,+4.750s
11,32,Michael SchumacherMSC,Jordan Ford,1:55.322,+4.979s
12,19,Roberto MorenoMOR,Benetton Ford,1:55.764,+5.421s
13,20,Nelson PiquetPIQ,Benetton Ford,1:55.943,+5.600s
14,21,Emanuele PirroPIR,Dallara Judd,1:56.705,+6.362s
15,22,Jyrki JarvilehtoJAR,Dallara Judd,1:56.769,+6.426s
16,11,Mika HakkinenHAK,Lotus Judd,1:56.974,+6.631s
17,6,Riccardo PatresePAT,Williams Renault,1:57.037,+6.694s
18,25,Thierry BoutsenBOU,Ligier Lamborghini,1:57.427,+7.084s
19,15,Mauricio GugelminGUG,Leyton House Ilmor,1:57.751,+7.408s
20,29,Eric BernardBER,Lola Ford,1:57.892,+7.549s
21,14,Olivier GrouillardGRO,Fondmetal Ford,1:57.898,+7.555s
22,12,Johnny HerbertHER,Lotus Judd,1:58.100,+7.757s
23,8,Mark BlundellBLU,Brabham Yamaha,1:58.614,+8.271s
24,30,Aguri SuzukiSUZ,Lola Ford,1:58.680,+8.337s
25,3,Satoru NakajimaNAK,Tyrrell Honda,1:58.725,+8.382s
26,35,Eric van de PoeleVAN,Lambo Lamborghini,1:58.862,+8.519s
27,10,Alex CaffiCAF,Footwork Porsche,1:59.000,+8.657s
28,26,Erik ComasCOM,Ligier Lamborghini,1:59.940,+9.597s
29,34,Nicola LariniLAR,Lambo Lamborghini,2:00.441,+10.098s
30,7,Martin BrundleBRU,Brabham Yamaha,6:42.988,+52.645s
