Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:21.707,
2,1,Ayrton SennaSEN,McLaren Honda,1:21.921,+0.214s
3,2,Gerhard BergerBER,McLaren Honda,1:21.993,+0.286s
4,6,Riccardo PatresePAT,Williams Renault,1:22.163,+0.456s
5,27,Alain ProstPRO,Ferrari,1:23.517,+1.810s
6,19,Michael SchumacherMSC,Benetton Ford,1:23.662,+1.955s
7,32,Roberto MorenoMOR,Jordan Ford,1:23.711,+2.004s
8,28,Jean AlesiALE,Ferrari,1:23.904,+2.197s
9,33,Andrea de CesarisDEC,Jordan Ford,1:23.913,+2.206s
10,23,Pierluigi MartiniMAR,Minardi Ferrari,1:24.036,+2.329s
11,20,Nelson PiquetPIQ,Benetton Ford,1:24.146,+2.439s
12,16,Ivan CapelliCAP,Leyton House Ilmor,1:24.513,+2.806s
13,4,Stefano ModenaMOD,Tyrrell Honda,1:24.572,+2.865s
14,24,Gianni MorbidelliMOR,Minardi Ferrari,1:24.579,+2.872s
15,7,Martin BrundleBRU,Brabham Yamaha,1:25.043,+3.336s
16,3,Satoru NakajimaNAK,Tyrrell Honda,1:25.348,+3.641s
17,21,Emanuele PirroPIR,Dallara Judd,1:25.433,+3.726s
18,15,Mauricio GugelminGUG,Leyton House Ilmor,1:25.519,+3.812s
19,8,Mark BlundellBLU,Brabham Yamaha,1:25.573,+3.866s
20,22,Jyrki JarvilehtoJAR,Dallara Judd,1:25.607,+3.900s
21,34,Nicola LariniLAR,Lambo Lamborghini,1:25.936,+4.229s
22,26,Erik ComasCOM,Ligier Lamborghini,1:26.103,+4.396s
23,25,Thierry BoutsenBOU,Ligier Lamborghini,1:26.121,+4.414s
24,35,Eric van de PoeleVAN,Lambo Lamborghini,1:27.175,+5.468s
25,9,Michele AlboretoALB,Footwork Porsche,1:27.207,+5.500s
26,29,Eric BernardBER,Lola Ford,1:27.315,+5.608s
27,11,Mika HakkinenHAK,Lotus Judd,1:27.524,+5.817s
28,30,Aguri SuzukiSUZ,Lola Ford,1:27.895,+6.188s
29,12,Michael BartelsBAR,Lotus Judd,1:28.549,+6.842s
30,14,Olivier GrouillardGRO,Fondmetal Ford,1:28.821,+7.114s
