Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:22.701,
2,2,Gerhard BergerBER,McLaren Honda,1:23.342,+0.641s
3,27,Alain ProstPRO,Ferrari,1:23.510,+0.809s
4,6,Riccardo PatresePAT,Williams Renault,1:23.804,+1.103s
5,28,Jean AlesiALE,Ferrari,1:23.936,+1.235s
6,5,Nigel MansellMAN,Williams Renault,1:24.154,+1.453s
7,4,Stefano ModenaMOD,Tyrrell Honda,1:25.454,+2.753s
8,23,Pierluigi MartiniMAR,Minardi Ferrari,1:25.949,+3.248s
9,22,Jyrki JarvilehtoJAR,Dallara Judd,1:26.095,+3.394s
10,33,Andrea de CesarisDEC,Jordan Ford,1:26.193,+3.492s
11,30,Aguri SuzukiSUZ,Lola Ford,1:26.279,+3.578s
12,24,Gianni MorbidelliMOR,Minardi Ferrari,1:26.427,+3.726s
13,15,Mauricio GugelminGUG,Leyton House Ilmor,1:26.584,+3.883s
14,16,Ivan CapelliCAP,Leyton House Ilmor,1:26.723,+4.022s
15,7,Martin BrundleBRU,Brabham Yamaha,1:26.752,+4.051s
16,29,Eric BernardBER,Lola Ford,1:26.841,+4.140s
17,32,Bertrand GachotGAC,Jordan Ford,1:27.092,+4.391s
18,26,Erik ComasCOM,Ligier Lamborghini,1:27.195,+4.494s
19,35,Eric van de PoeleVAN,Lambo Lamborghini,1:27.410,+4.709s
20,8,Mark BlundellBLU,Brabham Yamaha,1:27.489,+4.788s
21,25,Thierry BoutsenBOU,Ligier Lamborghini,1:27.590,+4.889s
22,19,Roberto MorenoMOR,Benetton Ford,1:27.885,+5.184s
23,17,Gabriele TarquiniTAR,AGS Ford,1:27.942,+5.241s
24,20,Nelson PiquetPIQ,Benetton Ford,1:27.952,+5.251s
25,12,Julian BaileyBAI,Lotus Judd,1:28.686,+5.985s
26,11,Mika HakkinenHAK,Lotus Judd,1:29.048,+6.347s
27,18,Fabrizio BarbazzaBAR,AGS Ford,1:30.558,+7.857s
28,9,Michele AlboretoALB,Footwork Porsche,1:32.767,+10.066s
29,3,Satoru NakajimaNAK,Tyrrell Honda,1:36.688,+13.987s
30,10,Alex CaffiCAF,Footwork Porsche,1:38.314,+15.613s
