Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:22.097,
2,6,Riccardo PatresePAT,Williams Renault,1:23.263,+1.166s
3,28,Jean AlesiALE,Ferrari,1:24.515,+2.418s
4,33,Andrea de CesarisDEC,Jordan Ford,1:24.674,+2.577s
5,22,Jyrki JarvilehtoJAR,Dallara Judd,1:24.811,+2.714s
6,2,Gerhard BergerBER,McLaren Honda,1:24.940,+2.843s
7,1,Ayrton SennaSEN,McLaren Honda,1:25.217,+3.120s
8,4,Stefano ModenaMOD,Tyrrell Honda,1:25.391,+3.294s
9,8,Mark BlundellBLU,Brabham Yamaha,1:25.656,+3.559s
10,21,Emanuele PirroPIR,Dallara Judd,1:25.687,+3.590s
11,30,Aguri SuzukiSUZ,Lola Ford,1:26.060,+3.963s
12,12,Johnny HerbertHER,Lotus Judd,1:26.070,+3.973s
13,11,Mika HakkinenHAK,Lotus Judd,1:26.157,+4.060s
14,7,Martin BrundleBRU,Brabham Yamaha,1:26.218,+4.121s
15,19,Roberto MorenoMOR,Benetton Ford,1:26.273,+4.176s
16,3,Satoru NakajimaNAK,Tyrrell Honda,1:26.339,+4.242s
17,15,Mauricio GugelminGUG,Leyton House Ilmor,1:26.443,+4.346s
18,27,Alain ProstPRO,Ferrari,1:26.457,+4.360s
19,16,Ivan CapelliCAP,Leyton House Ilmor,1:26.536,+4.439s
20,29,Eric BernardBER,Lola Ford,1:27.034,+4.937s
21,25,Thierry BoutsenBOU,Ligier Lamborghini,1:27.107,+5.010s
22,20,Nelson PiquetPIQ,Benetton Ford,1:27.129,+5.032s
23,32,Bertrand GachotGAC,Jordan Ford,1:27.204,+5.107s
24,9,Michele AlboretoALB,Footwork Porsche,1:27.552,+5.455s
25,26,Erik ComasCOM,Ligier Lamborghini,1:27.746,+5.649s
26,23,Pierluigi MartiniMAR,Minardi Ferrari,1:28.507,+6.410s
27,10,Stefan JohanssonJOH,Footwork Porsche,1:29.061,+6.964s
28,24,Gianni MorbidelliMOR,Minardi Ferrari,1:30.034,+7.937s
29,17,Gabriele TarquiniTAR,AGS Ford,1:30.563,+8.466s
30,18,Fabrizio BarbazzaBAR,AGS Ford,1:31.973,+9.876s
