Pos,No,Driver,Car,Time,Gap
1,2,Gerhard BergerBER,McLaren Honda,1:14.982,
2,1,Ayrton SennaSEN,McLaren Honda,1:15.415,+0.433s
3,6,Riccardo PatresePAT,Williams Renault,1:16.199,+1.217s
4,4,Stefano ModenaMOD,Tyrrell Honda,1:16.416,+1.434s
5,27,Gianni MorbidelliMOR,Ferrari,1:16.451,+1.469s
6,5,Nigel MansellMAN,Williams Renault,1:16.556,+1.574s
7,28,Jean AlesiALE,Ferrari,1:16.707,+1.725s
8,33,Andrea de CesarisDEC,Jordan Ford,1:17.028,+2.046s
9,20,Nelson PiquetPIQ,Benetton Ford,1:17.364,+2.382s
10,15,Mauricio GugelminGUG,Leyton House Ilmor,1:17.488,+2.506s
11,19,Michael SchumacherMSC,Benetton Ford,1:17.591,+2.609s
12,22,Jyrki JarvilehtoJAR,Dallara Judd,1:17.939,+2.957s
13,23,Pierluigi MartiniMAR,Minardi Ferrari,1:18.051,+3.069s
14,21,Emanuele PirroPIR,Dallara Judd,1:18.110,+3.128s
15,12,Johnny HerbertHER,Lotus Judd,1:18.325,+3.343s
16,10,Alex CaffiCAF,Footwork Porsche,1:18.410,+3.428s
17,34,Nicola LariniLAR,Lambo Lamborghini,1:18.603,+3.621s
18,30,Aguri SuzukiSUZ,Lola Ford,1:18.634,+3.652s
19,9,Michele AlboretoALB,Footwork Porsche,1:18.671,+3.689s
20,7,Martin BrundleBRU,Brabham Yamaha,1:18.699,+3.717s
21,32,Alessandro ZanardiZAN,Jordan Ford,1:18.774,+3.792s
22,16,Karl WendlingerWEN,Leyton House Ilmor,1:18.864,+3.882s
23,8,Mark BlundellBLU,Brabham Yamaha,1:18.942,+3.960s
24,26,Erik ComasCOM,Ligier Lamborghini,1:19.599,+4.617s
25,29,Bertrand GachotGAC,Lola Ford,1:19.875,+4.893s
26,3,Satoru NakajimaNAK,Tyrrell Honda,1:19.896,+4.914s
27,24,Roberto MorenoMOR,Minardi Ferrari,1:20.027,+5.045s
28,25,Thierry BoutsenBOU,Ligier Lamborghini,1:20.058,+5.076s
29,11,Mika HakkinenHAK,Lotus Judd,1:20.131,+5.149s
30,35,Eric van de PoeleVAN,Lambo Lamborghini,1:20.532,+5.550s
