Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:33.780,
2,4,Stefano ModenaMOD,Tyrrell Honda,1:34.247,+0.467s
3,2,Gerhard BergerBER,McLaren Honda,1:34.453,+0.673s
4,28,Jean AlesiALE,Ferrari,1:34.729,+0.949s
5,19,Roberto MorenoMOR,Benetton Ford,1:35.383,+1.603s
6,5,Nigel MansellMAN,Williams Renault,1:35.448,+1.668s
7,20,Nelson PiquetPIQ,Benetton Ford,1:35.594,+1.814s
8,27,Alain ProstPRO,Ferrari,1:35.841,+2.061s
9,23,Pierluigi MartiniMAR,Minardi Ferrari,1:36.148,+2.368s
10,3,Satoru NakajimaNAK,Tyrrell Honda,1:36.882,+3.102s
11,29,Eric BernardBER,Lola Ford,1:37.549,+3.769s
12,24,Gianni MorbidelliMOR,Minardi Ferrari,1:37.901,+4.121s
13,16,Ivan CapelliCAP,Leyton House Ilmor,1:38.062,+4.282s
14,22,Jyrki JarvilehtoJAR,Dallara Judd,1:38.609,+4.829s
15,21,Emanuele PirroPIR,Dallara Judd,1:39.031,+5.251s
16,17,Gabriele TarquiniTAR,AGS Ford,1:39.220,+5.440s
17,30,Aguri SuzukiSUZ,Lola Ford,1:39.228,+5.448s
18,7,Martin BrundleBRU,Brabham Yamaha,1:39.246,+5.466s
19,12,Julian BaileyBAI,Lotus Judd,1:39.264,+5.484s
20,26,Erik ComasCOM,Ligier Lamborghini,1:39.340,+5.560s
21,8,Mark BlundellBLU,Brabham Yamaha,1:39.360,+5.580s
22,18,Stefan JohanssonJOH,AGS Ford,1:39.643,+5.863s
23,25,Thierry BoutsenBOU,Ligier Lamborghini,1:39.835,+6.055s
24,11,Mika HakkinenHAK,Lotus Judd,1:40.094,+6.314s
25,15,Mauricio GugelminGUG,Leyton House Ilmor,1:40.382,+6.602s
26,6,Riccardo PatresePAT,Williams Renault,1:41.407,+7.627s
27,10,Alex CaffiCAF,Footwork Porsche,1:42.971,+9.191s
28,9,Michele AlboretoALB,Footwork Porsche,1:47.501,+13.721s
29,32,Bertrand GachotGAC,Jordan Ford,2:04.055,+30.275s
30,33,Andrea de CesarisDEC,Jordan Ford,4:22.088,+48.308s
