Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:23.525,
2,27,Alain ProstPRO,Ferrari,1:24.492,+0.967s
3,5,Nigel MansellMAN,Williams Renault,1:25.050,+1.525s
4,28,Jean AlesiALE,Ferrari,1:25.278,+1.753s
5,19,Roberto MorenoMOR,Benetton Ford,1:25.414,+1.889s
6,20,Nelson PiquetPIQ,Benetton Ford,1:25.695,+2.170s
7,4,Stefano ModenaMOD,Tyrrell Honda,1:25.736,+2.211s
8,6,Riccardo PatresePAT,Williams Renault,1:25.882,+2.357s
9,2,Gerhard BergerBER,McLaren Honda,1:25.966,+2.441s
10,21,Emanuele PirroPIR,Dallara Judd,1:26.072,+2.547s
11,22,Jyrki JarvilehtoJAR,Dallara Judd,1:26.692,+3.167s
12,3,Satoru NakajimaNAK,Tyrrell Honda,1:26.867,+3.342s
13,29,Eric BernardBER,Lola Ford,1:27.285,+3.760s
14,32,Bertrand GachotGAC,Jordan Ford,1:27.387,+3.862s
15,23,Pierluigi MartiniMAR,Minardi Ferrari,1:27.693,+4.168s
16,7,Martin BrundleBRU,Brabham Yamaha,1:28.273,+4.748s
17,11,Mika HakkinenHAK,Lotus Judd,1:28.394,+4.869s
18,8,Mark BlundellBLU,Brabham Yamaha,1:29.041,+5.516s
19,17,Gabriele TarquiniTAR,AGS Ford,1:29.275,+5.750s
20,18,Stefan JohanssonJOH,AGS Ford,1:29.382,+5.857s
21,34,Nicola LariniLAR,Lambo Lamborghini,1:29.384,+5.859s
22,30,Aguri SuzukiSUZ,Lola Ford,1:29.582,+6.057s
23,9,Michele AlboretoALB,Footwork Porsche,1:29.889,+6.364s
24,10,Alex CaffiCAF,Footwork Porsche,1:30.097,+6.572s
25,25,Thierry BoutsenBOU,Ligier Lamborghini,1:30.277,+6.752s
26,15,Mauricio GugelminGUG,Leyton House Ilmor,1:30.646,+7.121s
27,26,Erik ComasCOM,Ligier Lamborghini,1:31.781,+8.256s
28,24,Gianni MorbidelliMOR,Minardi Ferrari,1:34.472,+10.947s
29,12,Julian BaileyBAI,Lotus Judd,1:34.869,+11.344s
30,16,Ivan CapelliCAP,Leyton House Ilmor,1:54.228,+30.703s
