Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:18.532,
2,2,Gerhard BergerBER,McLaren Honda,1:19.863,+1.331s
3,5,Nigel MansellMAN,Williams Renault,1:19.914,+1.382s
4,16,Ivan CapelliCAP,Leyton House Ilmor,1:20.510,+1.978s
5,28,Jean AlesiALE,Ferrari,1:20.600,+2.068s
6,27,Alain ProstPRO,Ferrari,1:21.176,+2.644s
7,19,Roberto MorenoMOR,Benetton Ford,1:21.407,+2.875s
8,8,Mark BlundellBLU,Brabham Yamaha,1:21.493,+2.961s
9,33,Andrea de CesarisDEC,Jordan Ford,1:21.905,+3.373s
10,20,Nelson PiquetPIQ,Benetton Ford,1:22.032,+3.500s
11,21,Emanuele PirroPIR,Dallara Judd,1:22.033,+3.501s
12,7,Martin BrundleBRU,Brabham Yamaha,1:22.041,+3.509s
13,4,Stefano ModenaMOD,Tyrrell Honda,1:22.251,+3.719s
14,6,Riccardo PatresePAT,Williams Renault,1:22.730,+4.198s
15,25,Thierry BoutsenBOU,Ligier Lamborghini,1:22.885,+4.353s
16,3,Satoru NakajimaNAK,Tyrrell Honda,1:23.110,+4.578s
17,23,Pierluigi MartiniMAR,Minardi Ferrari,1:23.250,+4.718s
18,15,Mauricio GugelminGUG,Leyton House Ilmor,1:23.382,+4.850s
19,9,Michele AlboretoALB,Footwork Porsche,1:23.652,+5.120s
20,30,Aguri SuzukiSUZ,Lola Ford,1:23.784,+5.252s
21,22,Jyrki JarvilehtoJAR,Dallara Judd,1:24.002,+5.470s
22,32,Bertrand GachotGAC,Jordan Ford,1:24.351,+5.819s
23,14,Olivier GrouillardGRO,Fondmetal Ford,1:24.362,+5.830s
24,29,Eric BernardBER,Lola Ford,1:24.736,+6.204s
25,24,Gianni MorbidelliMOR,Minardi Ferrari,1:24.919,+6.387s
26,26,Erik ComasCOM,Ligier Lamborghini,1:25.300,+6.768s
27,12,Michael BartelsBAR,Lotus Judd,1:26.069,+7.537s
28,34,Nicola LariniLAR,Lambo Lamborghini,1:27.261,+8.729s
29,11,Mika HakkinenHAK,Lotus Judd,1:27.583,+9.051s
30,35,Eric van de PoeleVAN,Lambo Lamborghini,1:29.319,+10.787s
