Pos,No,Driver,Car,Time,Gap
1,5,Nigel MansellMAN,Williams Renault,1:38.299,
2,6,Riccardo PatresePAT,Williams Renault,1:38.498,+0.199s
3,1,Ayrton SennaSEN,McLaren Honda,1:39.247,+0.948s
4,2,Gerhard BergerBER,McLaren Honda,1:39.303,+1.004s
5,28,Jean AlesiALE,Ferrari,1:40.258,+1.959s
6,33,Andrea de CesarisDEC,Jordan Ford,1:40.720,+2.421s
7,27,Alain ProstPRO,Ferrari,1:41.513,+3.214s
8,19,Roberto MorenoMOR,Benetton Ford,1:41.617,+3.318s
9,20,Nelson PiquetPIQ,Benetton Ford,1:41.780,+3.481s
10,32,Bertrand GachotGAC,Jordan Ford,1:42.053,+3.754s
11,22,Jyrki JarvilehtoJAR,Dallara Judd,1:42.068,+3.769s
12,24,Gianni MorbidelliMOR,Minardi Ferrari,1:42.161,+3.862s
13,25,Thierry BoutsenBOU,Ligier Lamborghini,1:42.169,+3.870s
14,4,Stefano ModenaMOD,Tyrrell Honda,1:42.247,+3.948s
15,3,Satoru NakajimaNAK,Tyrrell Honda,1:42.384,+4.085s
16,7,Martin BrundleBRU,Brabham Yamaha,1:42.739,+4.440s
17,11,Mika HakkinenHAK,Lotus Judd,1:42.743,+4.444s
18,16,Ivan CapelliCAP,Leyton House Ilmor,1:42.791,+4.492s
19,26,Erik ComasCOM,Ligier Lamborghini,1:42.960,+4.661s
20,15,Mauricio GugelminGUG,Leyton House Ilmor,1:43.598,+5.299s
21,21,Emanuele PirroPIR,Dallara Judd,1:44.087,+5.788s
22,23,Pierluigi MartiniMAR,Minardi Ferrari,1:44.249,+5.950s
23,29,Eric BernardBER,Lola Ford,1:44.269,+5.970s
24,8,Mark BlundellBLU,Brabham Yamaha,1:44.651,+6.352s
25,35,Eric van de PoeleVAN,Lambo Lamborghini,1:44.950,+6.651s
26,9,Michele AlboretoALB,Footwork Porsche,1:45.055,+6.756s
27,17,Gabriele TarquiniTAR,AGS Ford,1:45.084,+6.785s
28,34,Nicola LariniLAR,Lambo Lamborghini,1:46.328,+8.029s
29,12,Michael BartelsBAR,Lotus Judd,1:46.946,+8.647s
30,30,Aguri SuzukiSUZ,Lola Ford,1:48.049,+9.750s
