Pos,No,Driver,Car,Time,Gap
1,2,Gerhard BergerBER,McLaren Honda,1:22.259,
2,1,Ayrton SennaSEN,McLaren Honda,1:22.671,+0.412s
3,19,Roberto MorenoMOR,Benetton Ford,1:22.957,+0.698s
4,28,Jean AlesiALE,Ferrari,1:23.539,+1.280s
5,6,Riccardo PatresePAT,Williams Renault,1:23.595,+1.336s
6,5,Nigel MansellMAN,Williams Renault,1:23.862,+1.603s
7,20,Nelson PiquetPIQ,Benetton Ford,1:23.869,+1.610s
8,4,Stefano ModenaMOD,Tyrrell Honda,1:24.326,+2.067s
9,27,Alain ProstPRO,Ferrari,1:24.785,+2.526s
10,23,Pierluigi MartiniMAR,Minardi Ferrari,1:24.857,+2.598s
11,17,Gabriele TarquiniTAR,AGS Ford,1:25.116,+2.857s
12,32,Bertrand GachotGAC,Jordan Ford,1:25.196,+2.937s
13,3,Satoru NakajimaNAK,Tyrrell Honda,1:25.531,+3.272s
14,7,Martin BrundleBRU,Brabham Yamaha,1:25.697,+3.438s
15,21,Emanuele PirroPIR,Dallara Judd,1:25.863,+3.604s
16,33,Andrea de CesarisDEC,Jordan Ford,1:26.008,+3.749s
17,16,Ivan CapelliCAP,Leyton House Ilmor,1:26.089,+3.830s
18,22,Jyrki JarvilehtoJAR,Dallara Judd,1:26.106,+3.847s
19,15,Mauricio GugelminGUG,Leyton House Ilmor,1:26.611,+4.352s
20,25,Thierry BoutsenBOU,Ligier Lamborghini,1:26.740,+4.481s
21,26,Erik ComasCOM,Ligier Lamborghini,1:26.841,+4.582s
22,18,Fabrizio BarbazzaBAR,AGS Ford,1:27.405,+5.146s
23,10,Alex CaffiCAF,Footwork Porsche,1:27.676,+5.417s
24,30,Aguri SuzukiSUZ,Lola Ford,1:27.848,+5.589s
25,24,Gianni MorbidelliMOR,Minardi Ferrari,1:28.001,+5.742s
26,11,Mika HakkinenHAK,Lotus Judd,1:28.424,+6.165s
27,29,Eric BernardBER,Lola Ford,1:28.469,+6.210s
28,9,Michele AlboretoALB,Footwork Porsche,1:28.655,+6.396s
29,12,Julian BaileyBAI,Lotus Judd,1:28.762,+6.503s
30,8,Mark BlundellBLU,Brabham Yamaha,1:30.210,+7.951s
