Pos,No,Driver,Car,Time,Gap
1,6,Riccardo PatresePAT,Williams Renault,1:17.341,
2,5,Nigel MansellMAN,Williams Renault,1:18.215,+0.874s
3,27,Alain ProstPRO,Ferrari,1:18.217,+0.876s
4,28,Jean AlesiALE,Ferrari,1:18.306,+0.965s
5,1,Ayrton SennaSEN,McLaren Honda,1:18.482,+1.141s
6,2,Gerhard BergerBER,McLaren Honda,1:18.688,+1.347s
7,25,Thierry BoutsenBOU,Ligier Lamborghini,1:19.271,+1.930s
8,16,Ivan CapelliCAP,Leyton House Ilmor,1:19.750,+2.409s
9,26,Erik ComasCOM,Ligier Lamborghini,1:19.883,+2.542s
10,33,Andrea de CesarisDEC,Jordan Ford,1:19.943,+2.602s
11,19,Roberto MorenoMOR,Benetton Ford,1:20.450,+3.109s
12,22,Jyrki JarvilehtoJAR,Dallara Judd,1:20.534,+3.193s
13,15,Mauricio GugelminGUG,Leyton House Ilmor,1:20.590,+3.249s
14,14,Olivier GrouillardGRO,Fondmetal Ford,1:20.798,+3.457s
15,29,Eric BernardBER,Lola Ford,1:20.953,+3.612s
16,4,Stefano ModenaMOD,Tyrrell Honda,1:20.983,+3.642s
17,7,Martin BrundleBRU,Brabham Yamaha,1:21.123,+3.782s
18,32,Bertrand GachotGAC,Jordan Ford,1:21.161,+3.820s
19,20,Nelson PiquetPIQ,Benetton Ford,1:21.350,+4.009s
20,9,Michele AlboretoALB,Footwork Porsche,1:21.531,+4.190s
21,30,Aguri SuzukiSUZ,Lola Ford,1:21.670,+4.329s
22,23,Pierluigi MartiniMAR,Minardi Ferrari,1:21.705,+4.364s
23,12,Johnny HerbertHER,Lotus Judd,1:21.923,+4.582s
24,17,Gabriele TarquiniTAR,AGS Ford,1:22.413,+5.072s
25,24,Gianni MorbidelliMOR,Minardi Ferrari,1:22.524,+5.183s
26,8,Mark BlundellBLU,Brabham Yamaha,1:22.606,+5.265s
27,10,Stefan JohanssonJOH,Footwork Porsche,1:23.211,+5.870s
28,3,Satoru NakajimaNAK,Tyrrell Honda,1:23.449,+6.108s
29,18,Fabrizio BarbazzaBAR,AGS Ford,1:23.684,+6.343s
30,11,Mika HakkinenHAK,Lotus Judd,1:23.815,+6.474s
