Pos,No,Driver,Car,Time,Gap
1,1,Ayrton SennaSEN,McLaren Honda,1:37.535,
2,2,Gerhard BergerBER,McLaren Honda,1:37.780,+0.245s
3,5,Nigel MansellMAN,Williams Renault,1:37.825,+0.290s
4,27,Alain ProstPRO,Ferrari,1:40.412,+2.877s
5,28,Jean AlesiALE,Ferrari,1:40.434,+2.899s
6,33,Andrea de CesarisDEC,Jordan Ford,1:40.461,+2.926s
7,6,Riccardo PatresePAT,Williams Renault,1:40.608,+3.073s
8,32,Alessandro ZanardiZAN,Jordan Ford,1:41.035,+3.500s
9,9,Michele AlboretoALB,Footwork Porsche,1:41.573,+4.038s
10,20,Nelson PiquetPIQ,Benetton Ford,1:41.783,+4.248s
11,12,Johnny HerbertHER,Lotus Judd,1:41.787,+4.252s
12,10,Alex CaffiCAF,Footwork Porsche,1:42.032,+4.497s
13,22,Jyrki JarvilehtoJAR,Dallara Judd,1:42.186,+4.651s
14,7,Martin BrundleBRU,Brabham Yamaha,1:42.276,+4.741s
15,24,Gianni MorbidelliMOR,Minardi Ferrari,1:42.429,+4.894s
16,15,Mauricio GugelminGUG,Leyton House Ilmor,1:42.789,+5.254s
17,4,Stefano ModenaMOD,Tyrrell Honda,1:43.102,+5.567s
18,19,Michael SchumacherMSC,Benetton Ford,1:43.317,+5.782s
19,3,Satoru NakajimaNAK,Tyrrell Honda,1:43.453,+5.918s
20,21,Emanuele PirroPIR,Dallara Judd,1:43.574,+6.039s
21,25,Thierry BoutsenBOU,Ligier Lamborghini,1:43.781,+6.246s
22,29,Eric BernardBER,Lola Ford,1:44.136,+6.601s
23,23,Pierluigi MartiniMAR,Minardi Ferrari,1:44.657,+7.122s
24,30,Aguri SuzukiSUZ,Lola Ford,1:45.026,+7.491s
25,11,Mika HakkinenHAK,Lotus Judd,1:45.164,+7.629s
26,16,Karl WendlingerWEN,Leyton House Ilmor,1:45.316,+7.781s
27,14,Gabriele TarquiniTAR,Fondmetal Ford,1:45.551,+8.016s
28,34,Nicola LariniLAR,Lambo Lamborghini,1:45.555,+8.020s
29,26,Erik ComasCOM,Ligier Lamborghini,1:45.827,+8.292s
30,35,Eric van de PoeleVAN,Lambo Lamborghini,1:49.628,+12.093s
