Pos,No,Driver,Car,Time
1,9,Nico RosbergROS,Mercedes,1:20.718
2,10,Lewis HamiltonHAM,Mercedes,1:20.972
3,1,Sebastian VettelVET,Red Bull Racing Renault,1:21.054
4,7,Kimi RäikkönenRAI,Lotus Renault,1:21.177
5,3,Fernando AlonsoALO,Ferrari,1:21.218
6,8,Romain GrosjeanGRO,Lotus Renault,1:21.308
7,2,Mark WebberWEB,Red Bull Racing Renault,1:21.570
8,6,Sergio PerezPER,McLaren Mercedes,1:22.069
9,4,Felipe MassaMAS,Ferrari,1:21.219
10,14,Paul di RestaDIR,Force India Mercedes,1:22.233
11,19,Daniel RicciardoRIC,STR Ferrari,1:22.127
12,18,Jean-Eric VergneVER,STR Ferrari,1:22.166
13,15,Adrian SutilSUT,Force India Mercedes,1:22.346
14,5,Jenson ButtonBUT,McLaren Mercedes,1:22.355
15,11,Nico HulkenbergHUL,Sauber Ferrari,1:22.389
16,17,Valtteri BottasBOT,Williams Renault,1:23.260
17,16,Pastor MaldonadoMAL,Williams Renault,1:23.318
18,21,Giedo van der GardeVDG,Caterham Renault,1:24.661
19,12,Esteban Gutierrez GUT,Sauber Ferrari,1:22.793
20,22,Jules BianchiBIA,Marussia Cosworth,1:24.713
21,23,Max ChiltonCHI,Marussia Cosworth,1:24.996
22,20,Charles PicPIC,Caterham Renault,1:25.070
