Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:24.119
2,9,Nico RosbergROS,Mercedes,1:24.871
3,10,Lewis HamiltonHAM,Mercedes,1:24.941
4,2,Mark WebberWEB,Red Bull Racing Renault,1:25.047
5,4,Felipe MassaMAS,Ferrari,1:25.201
6,7,Kimi RäikkönenRAI,Lotus Renault,1:25.248
7,11,Nico HulkenbergHUL,Sauber Ferrari,1:25.334
8,3,Fernando AlonsoALO,Ferrari,1:25.826
9,6,Sergio PerezPER,McLaren Mercedes,1:26.153
10,5,Jenson ButtonBUT,McLaren Mercedes,1:26.487
11,19,Daniel RicciardoRIC,STR Ferrari,1:25.519
12,14,Paul di RestaDIR,Force India Mercedes,1:25.711
13,15,Adrian SutilSUT,Force India Mercedes,1:25.740
14,18,Jean-Eric VergneVER,STR Ferrari,1:25.798
15,17,Valtteri BottasBOT,Williams Renault,1:26.134
16,12,Esteban Gutierrez GUT,Sauber Ferrari,1:26.336
17,8,Romain GrosjeanGRO,Lotus Renault,1:26.577
18,16,Pastor MaldonadoMAL,Williams Renault,1:26.842
19,22,Jules BianchiBIA,Marussia Cosworth,1:26.970
20,21,Giedo van der GardeVDG,Caterham Renault,1:27.105
21,20,Charles PicPIC,Caterham Renault,1:27.487
22,23,Max ChiltonCHI,Marussia Cosworth,1:28.138
