Pos,No,Driver,Car,Time
1,2,Mark WebberWEB,Red Bull Racing Renault,1:39.957
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:40.075
3,9,Nico RosbergROS,Mercedes,1:40.419
4,10,Lewis HamiltonHAM,Mercedes,1:40.501
5,11,Nico HulkenbergHUL,Sauber Ferrari,1:40.576
6,8,Romain GrosjeanGRO,Lotus Renault,1:40.997
7,4,Felipe MassaMAS,Ferrari,1:41.015
8,6,Sergio PerezPER,McLaren Mercedes,1:41.068
9,19,Daniel RicciardoRIC,STR Ferrari,1:41.111
10,3,Fernando AlonsoALO,Ferrari,1:41.093
11,14,Paul di RestaDIR,Force India Mercedes,1:41.133
12,5,Jenson ButtonBUT,McLaren Mercedes,1:41.200
13,18,Jean-Eric VergneVER,STR Ferrari,1:41.279
14,16,Pastor MaldonadoMAL,Williams Renault,1:41.395
15,17,Valtteri BottasBOT,Williams Renault,1:41.447
16,12,Esteban Gutierrez GUT,Sauber Ferrari,1:41.999
17,15,Adrian SutilSUT,Force India Mercedes,1:42.051
18,21,Giedo van der GardeVDG,Caterham Renault,1:43.252
19,20,Charles PicPIC,Caterham Renault,1:43.528
20,23,Max ChiltonCHI,Marussia Cosworth,1:44.198
21,22,Jules BianchiBIA,Marussia Cosworth,1:43.398
22,7,Kimi RäikkönenRAI,Lotus Renault,
