Pos,No,Driver,Car,Time
1,1,Sebastian VettelVET,Red Bull Racing Renault,1:37.202
2,10,Lewis HamiltonHAM,Mercedes,1:37.420
3,8,Romain GrosjeanGRO,Lotus Renault,1:37.531
4,9,Nico RosbergROS,Mercedes,1:37.679
5,3,Fernando AlonsoALO,Ferrari,1:38.038
6,4,Felipe MassaMAS,Ferrari,1:38.223
7,11,Nico HulkenbergHUL,Sauber Ferrari,1:38.237
8,12,Esteban Gutierrez GUT,Sauber Ferrari,1:38.405
9,7,Kimi RäikkönenRAI,Lotus Renault,1:38.822
10,6,Sergio PerezPER,McLaren Mercedes,1:38.362
11,5,Jenson ButtonBUT,McLaren Mercedes,1:38.365
12,19,Daniel RicciardoRIC,STR Ferrari,1:38.417
13,2,Mark WebberWEB,Red Bull Racing Renault,1:37.464
14,15,Adrian SutilSUT,Force India Mercedes,1:38.431
15,14,Paul di RestaDIR,Force India Mercedes,1:38.718
16,18,Jean-Eric VergneVER,STR Ferrari,1:38.781
17,17,Valtteri BottasBOT,Williams Renault,1:39.470
18,16,Pastor MaldonadoMAL,Williams Renault,1:39.987
19,20,Charles PicPIC,Caterham Renault,1:40.864
20,21,Giedo van der GardeVDG,Caterham Renault,1:40.871
21,23,Max ChiltonCHI,Marussia Cosworth,1:41.322
22,22,Jules BianchiBIA,Marussia Cosworth,1:41.169
