Pos,No,Driver,Car,Time
1,9,Nico RosbergROS,Mercedes,1:32.330
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:32.584
3,3,Fernando AlonsoALO,Ferrari,1:32.667
4,4,Felipe MassaMAS,Ferrari,1:33.207
5,14,Paul di RestaDIR,Force India Mercedes,1:33.235
6,15,Adrian SutilSUT,Force India Mercedes,1:33.246
7,2,Mark WebberWEB,Red Bull Racing Renault,1:33.078
8,7,Kimi RäikkönenRAI,Lotus Renault,1:33.327
9,10,Lewis HamiltonHAM,Mercedes,1:32.762
10,5,Jenson ButtonBUT,McLaren Mercedes,
11,8,Romain GrosjeanGRO,Lotus Renault,1:33.762
12,6,Sergio PerezPER,McLaren Mercedes,1:33.914
13,19,Daniel RicciardoRIC,STR Ferrari,1:33.974
14,11,Nico HulkenbergHUL,Sauber Ferrari,1:33.976
15,17,Valtteri BottasBOT,Williams Renault,1:34.105
16,18,Jean-Eric VergneVER,STR Ferrari,1:34.284
17,16,Pastor MaldonadoMAL,Williams Renault,1:34.425
18,20,Charles PicPIC,Caterham Renault,1:35.283
19,22,Jules BianchiBIA,Marussia Cosworth,1:36.178
20,21,Giedo van der GardeVDG,Caterham Renault,1:36.304
21,23,Max ChiltonCHI,Marussia Cosworth,1:36.476
22,12,Esteban Gutierrez GUT,Sauber Ferrari,1:34.730
