Pos,No,Driver,Car,Time
1,10,Lewis HamiltonHAM,Mercedes,1:19.388
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:19.426
3,8,Romain GrosjeanGRO,Lotus Renault,1:19.595
4,9,Nico RosbergROS,Mercedes,1:19.720
5,3,Fernando AlonsoALO,Ferrari,1:19.791
6,7,Kimi RäikkönenRAI,Lotus Renault,1:19.851
7,4,Felipe MassaMAS,Ferrari,1:19.929
8,19,Daniel RicciardoRIC,STR Ferrari,1:20.641
9,6,Sergio PerezPER,McLaren Mercedes,1:22.398
10,2,Mark WebberWEB,Red Bull Racing Renault,
11,15,Adrian SutilSUT,Force India Mercedes,1:20.569
12,11,Nico HulkenbergHUL,Sauber Ferrari,1:20.580
13,5,Jenson ButtonBUT,McLaren Mercedes,1:20.777
14,18,Jean-Eric VergneVER,STR Ferrari,1:21.029
15,16,Pastor MaldonadoMAL,Williams Renault,1:21.133
16,17,Valtteri BottasBOT,Williams Renault,1:21.219
17,12,Esteban Gutierrez GUT,Sauber Ferrari,1:21.724
18,14,Paul di RestaDIR,Force India Mercedes,1:22.043
19,20,Charles PicPIC,Caterham Renault,1:23.007
20,21,Giedo van der GardeVDG,Caterham Renault,1:23.333
21,22,Jules BianchiBIA,Marussia Cosworth,1:23.787
22,23,Max ChiltonCHI,Marussia Cosworth,1:23.997
