Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,7,1:49.758,228.546
2,5,Ralf SchumacherRSC,Williams BMW,25,1:51.058,225.871
3,4,David CoulthardCOU,McLaren Mercedes,35,1:51.608,224.758
4,7,Giancarlo FisichellaFIS,Benetton Renault,14,1:51.725,224.522
5,3,Mika HakkinenHAK,McLaren Mercedes,13,1:51.741,224.490
6,2,Rubens BarrichelloBAR,Ferrari,24,1:51.776,224.420
7,11,Jarno TrulliTRU,Jordan Honda,8,1:51.828,224.315
8,12,Jean AlesiALE,Jordan Honda,9,1:51.996,223.979
9,10,Jacques VilleneuveVIL,BAR Honda,15,1:52.372,223.229
10,9,Olivier PanisPAN,BAR Honda,28,1:52.533,222.910
11,8,Jenson ButtonBUT,Benetton Renault,21,1:53.409,221.188
12,17,Kimi RäikkönenRAI,Sauber Petronas,2,1:53.595,220.826
13,22,Heinz-Harald FrentzenFRE,Prost Acer,19,1:54.051,219.943
14,14,Jos VerstappenVER,Arrows Asiatech,8,1:54.095,219.858
15,15,Enrique BernoldiBER,Arrows Asiatech,8,1:55.196,217.757
16,16,Nick HeidfeldHEI,Sauber Petronas,4,1:55.805,216.612
17,6,Juan Pablo MontoyaMOY,Williams BMW,4,1:55.832,216.561
18,23,Luciano BurtiBUR,Prost Acer,3,1:56.083,216.093
19,19,Pedro de la RosaDLR,Jaguar Cosworth,4,1:56.158,215.954
20,20,Tarso MarquesMAR,Minardi European,12,1:56.484,215.349
21,18,Eddie IrvineIRV,Jaguar Cosworth,2,1:56.746,214.866
22,21,Fernando AlonsoALO,Minardi European,2,1:59.814,209.364
