Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Ralf SchumacherRSC,Williams BMW,27,1:25.524,207.646
2,4,David CoulthardCOU,McLaren Mercedes,44,1:25.569,207.537
3,2,Rubens BarrichelloBAR,Ferrari,46,1:26.117,206.217
4,3,Mika HakkinenHAK,McLaren Mercedes,61,1:26.308,205.760
5,6,Juan Pablo MontoyaMOY,Williams BMW,46,1:26.385,205.577
6,1,Michael SchumacherMSC,Ferrari,21,1:27.229,203.588
7,11,Heinz-Harald FrentzenFRE,Jordan Honda,36,1:27.243,203.555
8,16,Nick HeidfeldHEI,Sauber Petronas,57,1:27.350,203.306
9,12,Jarno TrulliTRU,Jordan Honda,20,1:27.358,203.287
10,9,Olivier PanisPAN,BAR Honda,47,1:27.582,202.767
11,10,Jacques VilleneuveVIL,BAR Honda,27,1:27.614,202.693
12,18,Eddie IrvineIRV,Jaguar Cosworth,28,1:27.854,202.139
13,19,Luciano BurtiBUR,Jaguar Cosworth,29,1:27.932,201.960
14,22,Jean AlesiALE,Prost Acer,44,1:28.369,200.961
15,17,Kimi RäikkönenRAI,Sauber Petronas,17,1:28.604,200.428
16,23,Gaston MazzacaneMAZ,Prost Acer,21,1:28.954,199.640
17,15,Enrique BernoldiBER,Arrows Asiatech,37,1:28.956,199.635
18,8,Jenson ButtonBUT,Benetton Renault,38,1:29.096,199.322
19,7,Giancarlo FisichellaFIS,Benetton Renault,14,1:29.644,198.103
20,14,Jos VerstappenVER,Arrows Asiatech,4,1:30.403,196.440
21,21,Fernando AlonsoALO,Minardi European,4,1:31.671,193.723
22,20,Tarso MarquesMAR,Minardi European,38,1:31.725,193.609
