Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Mika HakkinenHAK,McLaren Mercedes,51,1:16.723,186.515
2,4,David CoulthardCOU,McLaren Mercedes,53,1:17.054,185.713
3,5,Ralf SchumacherRSC,Williams BMW,54,1:17.233,185.283
4,2,Rubens BarrichelloBAR,Ferrari,51,1:17.274,185.185
5,1,Michael SchumacherMSC,Ferrari,23,1:17.436,184.797
6,6,Juan Pablo MontoyaMOY,Williams BMW,34,1:18.030,183.391
7,16,Nick HeidfeldHEI,Sauber Petronas,50,1:18.165,183.074
8,19,Pedro de la RosaDLR,Jaguar Cosworth,51,1:18.186,183.025
9,17,Kimi RäikkönenRAI,Sauber Petronas,28,1:18.216,182.954
10,11,Jarno TrulliTRU,Jordan Honda,50,1:18.536,182.209
11,12,Jean AlesiALE,Jordan Honda,32,1:19.134,180.832
12,9,Olivier PanisPAN,BAR Honda,29,1:19.222,180.631
13,7,Giancarlo FisichellaFIS,Benetton Renault,24,1:19.471,180.065
14,8,Jenson ButtonBUT,Benetton Renault,29,1:19.475,180.056
15,10,Jacques VilleneuveVIL,BAR Honda,75,1:19.494,180.013
16,22,Heinz-Harald FrentzenFRE,Prost Acer,50,1:20.046,178.772
17,14,Jos VerstappenVER,Arrows Asiatech,51,1:20.401,177.982
18,20,Tarso MarquesMAR,Minardi European,51,1:21.379,175.843
19,21,Fernando AlonsoALO,Minardi European,18,1:21.533,175.511
20,23,Luciano BurtiBUR,Prost Acer,8,1:21.912,174.699
21,15,Enrique BernoldiBER,Arrows Asiatech,7,1:22.045,174.416
