Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Juan Pablo MontoyaMOY,Williams BMW,20,1:41.808,241.336
2,5,Ralf SchumacherRSC,Williams BMW,17,1:42.048,240.769
3,2,Rubens BarrichelloBAR,Ferrari,10,1:42.638,239.385
4,1,Michael SchumacherMSC,Ferrari,21,1:42.853,238.884
5,9,Olivier PanisPAN,BAR Honda,30,1:43.329,237.784
6,10,Jacques VilleneuveVIL,BAR Honda,21,1:43.448,237.510
7,3,Mika HakkinenHAK,McLaren Mercedes,4,1:43.516,237.354
8,4,David CoulthardCOU,McLaren Mercedes,26,1:43.571,237.228
9,12,Jarno TrulliTRU,Jordan Honda,33,1:43.740,236.842
10,7,Giancarlo FisichellaFIS,Benetton Renault,34,1:43.999,236.252
11,8,Jenson ButtonBUT,Benetton Renault,31,1:44.051,236.134
12,22,Jean AlesiALE,Prost Acer,42,1:44.135,235.943
13,17,Kimi RäikkönenRAI,Sauber Petronas,10,1:44.365,235.423
14,18,Eddie IrvineIRV,Jaguar Cosworth,11,1:44.415,235.311
15,14,Jos VerstappenVER,Arrows Asiatech,35,1:44.681,234.713
16,23,Luciano BurtiBUR,Prost Acer,17,1:44.683,234.708
17,15,Enrique BernoldiBER,Arrows Asiatech,31,1:44.785,234.480
18,11,Ricardo ZontaZON,Jordan Honda,4,1:45.591,232.690
19,21,Fernando AlonsoALO,Minardi European,4,1:45.908,231.993
20,20,Tarso MarquesMAR,Minardi European,12,1:46.013,231.764
