Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Ralf SchumacherRSC,Williams BMW,39,1:25.073,245.140
2,2,Rubens BarrichelloBAR,Ferrari,39,1:25.221,244.714
3,1,Michael SchumacherMSC,Ferrari,52,1:25.525,243.844
4,6,Juan Pablo MontoyaMOY,Williams BMW,52,1:25.657,243.468
5,12,Jean AlesiALE,Jordan Honda,28,1:26.365,241.472
6,19,Pedro de la RosaDLR,Jaguar Cosworth,34,1:26.381,241.428
7,9,Olivier PanisPAN,BAR Honda,31,1:26.386,241.414
8,17,Kimi RäikkönenRAI,Sauber Petronas,51,1:26.656,240.661
9,10,Jacques VilleneuveVIL,BAR Honda,31,1:26.657,240.659
10,16,Nick HeidfeldHEI,Sauber Petronas,52,1:26.825,240.193
11,7,Giancarlo FisichellaFIS,Benetton Renault,29,1:27.283,238.933
12,4,David CoulthardCOU,McLaren Mercedes,4,1:27.323,238.823
13,22,Heinz-Harald FrentzenFRE,Prost Acer,28,1:27.394,238.629
14,3,Mika HakkinenHAK,McLaren Mercedes,15,1:27.627,237.995
15,23,Tomas EngeENG,Prost Acer,52,1:27.643,237.951
16,21,Fernando AlonsoALO,Minardi European,50,1:27.709,237.772
17,14,Jos VerstappenVER,Arrows Asiatech,22,1:27.945,237.134
18,8,Jenson ButtonBUT,Benetton Renault,4,1:28.268,236.266
19,15,Enrique BernoldiBER,Arrows Asiatech,24,1:28.578,235.439
20,18,Eddie IrvineIRV,Jaguar Cosworth,2,1:29.262,233.635
21,20,Alex YoongYOO,Minardi European,21,1:30.605,230.172
