Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Ralf SchumacherRSC,Williams BMW,46,1:36.944,217.573
2,2,Rubens BarrichelloBAR,Ferrari,17,1:36.970,217.514
3,6,Juan Pablo MontoyaMOY,Williams BMW,20,1:37.017,217.409
4,1,Michael SchumacherMSC,Ferrari,29,1:37.133,217.149
5,3,Mika HakkinenHAK,McLaren Mercedes,40,1:37.298,216.781
6,4,David CoulthardCOU,McLaren Mercedes,51,1:37.313,216.748
7,22,Heinz-Harald FrentzenFRE,Prost Acer,48,1:38.240,214.702
8,7,Giancarlo FisichellaFIS,Benetton Renault,13,1:38.361,214.438
9,8,Jenson ButtonBUT,Benetton Renault,36,1:38.526,214.079
10,18,Eddie IrvineIRV,Jaguar Cosworth,22,1:38.620,213.875
11,16,Nick HeidfeldHEI,Sauber Petronas,21,1:38.647,213.816
12,11,Jarno TrulliTRU,Jordan Honda,28,1:38.857,213.362
13,10,Jacques VilleneuveVIL,BAR Honda,22,1:38.887,213.298
14,21,Fernando AlonsoALO,Minardi European,36,1:39.153,212.725
15,19,Pedro de la RosaDLR,Jaguar Cosworth,40,1:39.182,212.663
16,9,Olivier PanisPAN,BAR Honda,44,1:39.299,212.413
17,23,Tomas EngeENG,Prost Acer,27,1:39.827,211.289
18,17,Kimi RäikkönenRAI,Sauber Petronas,4,1:39.991,210.942
19,12,Jean AlesiALE,Jordan Honda,4,1:40.225,210.450
20,15,Enrique BernoldiBER,Arrows Asiatech,46,1:40.940,208.959
21,14,Jos VerstappenVER,Arrows Asiatech,16,1:41.383,208.046
22,20,Alex YoongYOO,Minardi European,42,1:42.915,204.949
