Pos,No,Driver,Car,Lap,Time,Avg speed
1,4,David CoulthardCOU,McLaren Mercedes,48,1:10.843,219.832
2,2,Rubens BarrichelloBAR,Ferrari,68,1:11.009,219.318
3,1,Michael SchumacherMSC,Ferrari,69,1:11.030,219.253
4,6,Juan Pablo MontoyaMOY,Williams BMW,40,1:11.140,218.914
5,17,Kimi RäikkönenRAI,Sauber Petronas,70,1:11.284,218.472
6,16,Nick HeidfeldHEI,Sauber Petronas,69,1:11.388,218.154
7,10,Jacques VilleneuveVIL,BAR Honda,70,1:11.718,217.150
8,18,Eddie IrvineIRV,Jaguar Cosworth,69,1:12.088,216.035
9,9,Olivier PanisPAN,BAR Honda,39,1:12.204,215.688
10,14,Jos VerstappenVER,Arrows Asiatech,36,1:12.423,215.036
11,23,Luciano BurtiBUR,Prost Acer,69,1:12.642,214.388
12,22,Jean AlesiALE,Prost Acer,41,1:13.130,212.957
13,8,Jenson ButtonBUT,Benetton Renault,38,1:13.498,211.891
14,15,Enrique BernoldiBER,Arrows Asiatech,15,1:13.587,211.635
15,5,Ralf SchumacherRSC,Williams BMW,7,1:13.888,210.773
16,19,Pedro de la RosaDLR,Jaguar Cosworth,35,1:13.978,210.516
17,12,Jarno TrulliTRU,Jordan Honda,12,1:14.082,210.221
18,21,Fernando AlonsoALO,Minardi European,36,1:14.432,209.232
19,20,Tarso MarquesMAR,Minardi European,25,1:15.212,207.062
20,7,Giancarlo FisichellaFIS,Benetton Renault,2,1:58.438,131.491
