Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Ralf SchumacherRSC,Williams BMW,50,1:17.205,206.147
2,3,Mika HakkinenHAK,McLaren Mercedes,45,1:18.148,203.659
3,1,Michael SchumacherMSC,Ferrari,48,1:18.176,203.586
4,19,Pedro de la RosaDLR,Jaguar Cosworth,50,1:19.006,201.447
5,14,Jos VerstappenVER,Arrows Asiatech,59,1:19.257,200.810
6,17,Kimi RäikkönenRAI,Sauber Petronas,63,1:19.309,200.678
7,22,Jean AlesiALE,Prost Acer,59,1:19.328,200.630
8,12,Jarno TrulliTRU,Jordan Honda,29,1:19.414,200.413
9,2,Rubens BarrichelloBAR,Ferrari,13,1:19.722,199.638
10,4,David CoulthardCOU,McLaren Mercedes,32,1:19.745,199.581
11,10,Jacques VilleneuveVIL,BAR Honda,30,1:19.782,199.488
12,23,Luciano BurtiBUR,Prost Acer,60,1:19.841,199.341
13,9,Olivier PanisPAN,BAR Honda,30,1:19.856,199.303
14,11,Ricardo ZontaZON,Jordan Honda,38,1:20.078,198.751
15,6,Juan Pablo MontoyaMOY,Williams BMW,18,1:20.159,198.550
16,15,Enrique BernoldiBER,Arrows Asiatech,11,1:20.767,197.055
17,8,Jenson ButtonBUT,Benetton Renault,11,1:21.124,196.188
18,20,Tarso MarquesMAR,Minardi European,19,1:22.312,193.356
19,21,Fernando AlonsoALO,Minardi European,4,1:22.413,193.120
