Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Juan Pablo MontoyaMOY,Williams BMW,27,1:18.354,209.326
2,5,Ralf SchumacherRSC,Williams BMW,54,1:18.498,208.942
3,2,Rubens BarrichelloBAR,Ferrari,59,1:18.537,208.839
4,1,Michael SchumacherMSC,Ferrari,49,1:18.612,208.639
5,18,Eddie IrvineIRV,Jaguar Cosworth,34,1:18.674,208.475
6,4,David CoulthardCOU,McLaren Mercedes,63,1:18.883,207.923
7,23,Luciano BurtiBUR,Prost Acer,57,1:19.105,207.339
8,3,Mika HakkinenHAK,McLaren Mercedes,65,1:19.273,206.900
9,12,Jarno TrulliTRU,Jordan Honda,32,1:19.484,206.350
10,19,Pedro de la RosaDLR,Jaguar Cosworth,65,1:19.737,205.696
11,10,Jacques VilleneuveVIL,BAR Honda,65,1:19.797,205.541
12,11,Heinz-Harald FrentzenFRE,Jordan Honda,31,1:19.892,205.297
13,22,Jean AlesiALE,Prost Acer,48,1:20.049,204.894
14,8,Jenson ButtonBUT,Benetton Renault,25,1:20.069,204.843
15,17,Kimi RäikkönenRAI,Sauber Petronas,34,1:20.498,203.751
16,7,Giancarlo FisichellaFIS,Benetton Renault,26,1:20.729,203.168
17,21,Fernando AlonsoALO,Minardi European,29,1:20.937,202.646
18,16,Nick HeidfeldHEI,Sauber Petronas,53,1:20.976,202.548
19,14,Jos VerstappenVER,Arrows Asiatech,23,1:21.154,202.104
20,15,Enrique BernoldiBER,Arrows Asiatech,25,1:21.188,202.020
21,9,Olivier PanisPAN,BAR Honda,23,1:21.314,201.706
22,20,Tarso MarquesMAR,Minardi European,4,1:23.778,195.774
