Pos,No,Driver,Car,Lap,Time,Avg speed
1,4,David CoulthardCOU,McLaren Mercedes,53,1:16.088,201.130
2,2,Rubens BarrichelloBAR,Ferrari,23,1:16.181,200.884
3,1,Michael SchumacherMSC,Ferrari,27,1:16.286,200.608
4,6,Juan Pablo MontoyaMOY,Williams BMW,34,1:16.355,200.426
5,5,Ralf SchumacherRSC,Williams BMW,18,1:16.585,199.825
6,18,Eddie IrvineIRV,Jaguar Cosworth,23,1:17.304,197.966
7,17,Kimi RäikkönenRAI,Sauber Petronas,8,1:17.311,197.948
8,12,Jarno TrulliTRU,Jordan Honda,29,1:17.369,197.800
9,19,Pedro de la RosaDLR,Jaguar Cosworth,67,1:17.508,197.445
10,16,Nick HeidfeldHEI,Sauber Petronas,23,1:17.538,197.369
11,11,Heinz-Harald FrentzenFRE,Jordan Honda,20,1:17.540,197.363
12,7,Giancarlo FisichellaFIS,Benetton Renault,26,1:17.968,196.280
13,10,Jacques VilleneuveVIL,BAR Honda,4,1:18.181,195.745
14,9,Olivier PanisPAN,BAR Honda,68,1:18.250,195.573
15,23,Luciano BurtiBUR,Prost Acer,50,1:18.253,195.565
16,8,Jenson ButtonBUT,Benetton Renault,25,1:18.359,195.301
17,14,Jos VerstappenVER,Arrows Asiatech,47,1:18.662,194.548
18,22,Jean AlesiALE,Prost Acer,14,1:18.817,194.166
19,15,Enrique BernoldiBER,Arrows Asiatech,13,1:19.181,193.273
20,21,Fernando AlonsoALO,Minardi European,62,1:19.199,193.229
21,20,Tarso MarquesMAR,Minardi European,54,1:19.608,192.236
