Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Mika HakkinenHAK,McLaren Mercedes,48,1:40.962,197.646
2,5,Ralf SchumacherRSC,Williams BMW,54,1:41.503,196.593
3,1,Michael SchumacherMSC,Ferrari,2,1:41.833,195.956
4,2,Rubens BarrichelloBAR,Ferrari,2,1:42.037,195.564
5,11,Heinz-Harald FrentzenFRE,Jordan Honda,50,1:42.119,195.407
6,4,David CoulthardCOU,McLaren Mercedes,47,1:42.839,194.039
7,14,Jos VerstappenVER,Arrows Asiatech,55,1:43.029,193.681
8,10,Jacques VilleneuveVIL,BAR Honda,2,1:43.470,192.855
9,12,Jarno TrulliTRU,Jordan Honda,52,1:43.559,192.690
10,19,Luciano BurtiBUR,Jaguar Cosworth,52,1:43.697,192.433
11,22,Jean AlesiALE,Prost Acer,53,1:43.853,192.144
12,6,Juan Pablo MontoyaMOY,Williams BMW,2,1:43.926,192.009
13,23,Gaston MazzacaneMAZ,Prost Acer,53,1:43.991,191.889
14,8,Jenson ButtonBUT,Benetton Renault,52,1:44.891,190.243
15,16,Nick HeidfeldHEI,Sauber Petronas,2,1:45.328,189.453
16,21,Fernando AlonsoALO,Minardi European,50,1:45.585,188.992
17,20,Tarso MarquesMAR,Minardi European,50,1:46.016,188.224
18,7,Giancarlo FisichellaFIS,Benetton Renault,2,1:46.982,186.524
19,15,Enrique BernoldiBER,Arrows Asiatech,2,1:47.294,185.982
20,18,Eddie IrvineIRV,Jaguar Cosworth,2,1:51.532,178.915
21,9,Olivier PanisPAN,BAR Honda,0,,
