Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,34,1:28.214,216.414
2,4,David CoulthardCOU,McLaren Mercedes,40,1:28.838,214.894
3,2,Rubens BarrichelloBAR,Ferrari,33,1:29.060,214.358
4,6,Juan Pablo MontoyaMOY,Williams BMW,40,1:29.606,213.052
5,3,Mika HakkinenHAK,McLaren Mercedes,25,1:29.612,213.038
6,9,Olivier PanisPAN,BAR Honda,36,1:30.199,211.652
7,17,Kimi RäikkönenRAI,Sauber Petronas,35,1:30.229,211.581
8,11,Heinz-Harald FrentzenFRE,Jordan Honda,35,1:30.266,211.494
9,16,Nick HeidfeldHEI,Sauber Petronas,35,1:30.317,211.375
10,12,Jarno TrulliTRU,Jordan Honda,29,1:30.432,211.106
11,19,Luciano BurtiBUR,Jaguar Cosworth,31,1:30.903,210.012
12,22,Jean AlesiALE,Prost Acer,31,1:31.030,209.719
13,18,Eddie IrvineIRV,Jaguar Cosworth,29,1:31.267,209.175
14,14,Jos VerstappenVER,Arrows Asiatech,56,1:31.999,207.510
15,8,Jenson ButtonBUT,Benetton Renault,24,1:32.001,207.506
16,21,Fernando AlonsoALO,Minardi European,56,1:32.043,207.411
17,7,Giancarlo FisichellaFIS,Benetton Renault,23,1:32.407,206.594
18,5,Ralf SchumacherRSC,Williams BMW,3,1:34.406,202.220
19,10,Jacques VilleneuveVIL,BAR Honda,3,1:34.432,202.164
20,15,Enrique BernoldiBER,Arrows Asiatech,2,1:36.689,197.445
21,20,Tarso MarquesMAR,Minardi European,2,1:38.249,194.310
