Pos,No,Driver,Car,Time,Gap,Laps
1,11,Sergio PerezPER,Red Bull Racing Honda,1:17.024,,15
2,33,Max VerstappenVER,Red Bull Racing Honda,1:17.217,+0.193s,12
3,44,Lewis HamiltonHAM,Mercedes,1:17.675,+0.651s,14
4,77,Valtteri BottasBOT,Mercedes,1:17.708,+0.684s,17
5,55,Carlos SainzSAI,Ferrari,1:18.029,+1.005s,20
6,22,Yuki TsunodaTSU,AlphaTauri Honda,1:18.037,+1.013s,25
7,3,Daniel RicciardoRIC,McLaren Mercedes,1:18.121,+1.097s,15
8,10,Pierre GaslyGAS,AlphaTauri Honda,1:18.202,+1.178s,18
9,16,Charles LeclercLEC,Ferrari,1:18.213,+1.189s,20
10,4,Lando NorrisNOR,McLaren Mercedes,1:18.312,+1.288s,16
11,18,Lance StrollSTR,Aston Martin Mercedes,1:18.352,+1.328s,20
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:18.531,+1.507s,22
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:18.556,+1.532s,19
14,5,Sebastian VettelVET,Aston Martin Mercedes,1:18.614,+1.590s,17
15,14,Fernando AlonsoALO,Alpine Renault,1:18.847,+1.823s,15
16,31,Esteban OconOCO,Alpine Renault,1:18.999,+1.975s,17
17,63,George RussellRUS,Williams Mercedes,1:19.211,+2.187s,19
18,47,Mick SchumacherMSC,Haas Ferrari,1:19.238,+2.214s,14
19,6,Nicholas LatifiLAT,Williams Mercedes,1:19.313,+2.289s,12
20,9,Nikita MazepinMAZ,Haas Ferrari,1:20.479,+3.455s,15
