Pos,No,Driver,Car,Time,Gap,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:18.489,,21
2,44,Lewis HamiltonHAM,Mercedes,1:18.725,+0.236s,21
3,77,Valtteri BottasBOT,Mercedes,1:18.820,+0.331s,19
4,11,Sergio PerezPER,Red Bull Racing Honda,1:18.840,+0.351s,25
5,31,Esteban OconOCO,Alpine Renault,1:18.860,+0.371s,19
6,16,Charles LeclercLEC,Ferrari,1:19.001,+0.512s,23
7,55,Carlos SainzSAI,Ferrari,1:19.050,+0.561s,24
8,4,Lando NorrisNOR,McLaren Mercedes,1:19.272,+0.783s,18
9,10,Pierre GaslyGAS,AlphaTauri Honda,1:19.374,+0.885s,26
10,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:19.415,+0.926s,26
11,22,Yuki TsunodaTSU,AlphaTauri Honda,1:19.485,+0.996s,25
12,3,Daniel RicciardoRIC,McLaren Mercedes,1:19.582,+1.093s,19
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:19.588,+1.099s,23
14,14,Fernando AlonsoALO,Alpine Renault,1:19.949,+1.460s,20
15,47,Mick SchumacherMSC,Haas Ferrari,1:20.033,+1.544s,22
16,18,Lance StrollSTR,Aston Martin Mercedes,1:20.090,+1.601s,17
17,63,George RussellRUS,Williams Mercedes,1:20.127,+1.638s,18
18,5,Sebastian VettelVET,Aston Martin Mercedes,1:20.214,+1.725s,21
19,6,Nicholas LatifiLAT,Williams Mercedes,1:20.681,+2.192s,19
20,9,Nikita MazepinMAZ,Haas Ferrari,1:20.690,+2.201s,20
