Pos,No,Driver,Car,Time,Gap,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:14.958,,18
2,4,Lando NorrisNOR,McLaren Mercedes,1:15.414,+0.456s,17
3,44,Lewis HamiltonHAM,Mercedes,1:15.515,+0.557s,18
4,11,Sergio PerezPER,Red Bull Racing Honda,1:15.551,+0.593s,18
5,16,Charles LeclercLEC,Ferrari,1:15.738,+0.780s,21
6,10,Pierre GaslyGAS,AlphaTauri Honda,1:15.890,+0.932s,22
7,55,Carlos SainzSAI,Ferrari,1:15.908,+0.950s,21
8,77,Valtteri BottasBOT,Mercedes,1:15.908,+0.950s,19
9,14,Fernando AlonsoALO,Alpine Renault,1:16.186,+1.228s,20
10,31,Esteban OconOCO,Alpine Renault,1:16.228,+1.270s,20
11,22,Yuki TsunodaTSU,AlphaTauri Honda,1:16.230,+1.272s,20
12,18,Lance StrollSTR,Aston Martin Mercedes,1:16.245,+1.287s,19
13,3,Daniel RicciardoRIC,McLaren Mercedes,1:16.253,+1.295s,17
14,5,Sebastian VettelVET,Aston Martin Mercedes,1:16.389,+1.431s,19
15,63,George RussellRUS,Williams Mercedes,1:16.427,+1.469s,20
16,47,Mick SchumacherMSC,Haas Ferrari,1:16.448,+1.490s,22
17,6,Nicholas LatifiLAT,Williams Mercedes,1:16.537,+1.579s,15
18,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:16.612,+1.654s,22
19,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:16.803,+1.845s,23
20,9,Nikita MazepinMAZ,Haas Ferrari,1:17.398,+2.440s,23
