Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:22.310,,17
2,44,Lewis HamiltonHAM,Mercedes,1:22.388,+0.078s,16
3,33,Max VerstappenVER,Red Bull Racing Honda,1:22.651,+0.341s,10
4,10,Pierre GaslyGAS,AlphaTauri Honda,1:22.835,+0.525s,17
5,11,Sergio PerezPER,Red Bull Racing Honda,1:22.846,+0.536s,14
6,55,Carlos SainzSAI,Ferrari,1:23.048,+0.738s,17
7,14,Fernando AlonsoALO,Alpine Renault,1:23.186,+0.876s,13
8,31,Esteban OconOCO,Alpine Renault,1:23.209,+0.899s,18
9,16,Charles LeclercLEC,Ferrari,1:23.276,+0.966s,17
10,22,Yuki TsunodaTSU,AlphaTauri Honda,1:23.567,+1.257s,20
11,3,Daniel RicciardoRIC,McLaren Mercedes,1:23.711,+1.401s,14
12,5,Sebastian VettelVET,Aston Martin Mercedes,1:23.884,+1.574s,17
13,4,Lando NorrisNOR,McLaren Mercedes,1:23.895,+1.585s,16
14,63,George RussellRUS,Williams Mercedes,1:23.923,+1.613s,17
15,18,Lance StrollSTR,Aston Martin Mercedes,1:24.154,+1.844s,17
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:24.246,+1.936s,19
17,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:24.288,+1.978s,17
18,6,Nicholas LatifiLAT,Williams Mercedes,1:24.499,+2.189s,15
19,47,Mick SchumacherMSC,Haas Ferrari,1:24.680,+2.370s,20
20,9,Nikita MazepinMAZ,Haas Ferrari,,,1
