Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Emerson FittipaldiFIT,Lotus Ford,96,1:56:18.220,9
2,8,Francois  Cevert CEV,Tyrrell Ford,96,+4.690s,6
3,6,Jackie StewartSTE,Tyrrell Ford,96,+33.190s,4
4,18,Jacky IckxICK,Ferrari,96,+42.570s,3
5,14,Denny HulmeHUL,McLaren Ford,95,+1 lap,2
6,12,Wilson FittipaldiFIT,Brabham Ford,95,+1 lap,1
7,32,Clay RegazzoniREG,BRM,93,+3 laps,0
8,16,Peter   RevsonREV,McLaren Ford,92,+4 laps,0
9,20,Arturo MerzarioMER,Ferrari,92,+4 laps,0
10,22,Mike  Beuttler BEU,March Ford,90,DNF,0
NC,24,Jean-Pierre JarierJAR,March Ford,84,DNF,0
NC,30,Jean-Pierre BeltoiseBEL,BRM,79,DNF,0
NC,38,Howden  Ganley GAN,Iso Marlboro Ford,79,+17 laps,0
NC,4,Ronnie PetersonPET,Lotus Ford,66,DNF,0
NC,34,Niki LaudaLAU,BRM,66,DNF,0
NC,10,Carlos ReutemannREU,Brabham Ford,16,DNF,0
NC,28,Carlos PacePAC,Surtees Ford,10,DNF,0
NC,26,Mike HailwoodHAI,Surtees Ford,10,DNF,0
NC,36,Nanni  Galli GAL,Iso Marlboro Ford,0,DNF,0
