Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,3,Daniel RicciardoRIC,Red Bull Racing Renault,68,15:51:18,1:24.821,185.939
2,6,Nico RosbergROS,Mercedes,68,15:51:51,1:25.149,185.223
3,44,Lewis HamiltonHAM,Mercedes,68,15:51:45,1:25.727,183.974
4,26,Daniil KvyatKVY,Red Bull Racing Renault,57,15:34:57,1:26.519,182.290
5,5,Sebastian VettelVET,Ferrari,63,15:43:35,1:26.772,181.759
6,19,Felipe MassaMAS,Williams Mercedes,59,15:38:51,1:26.864,181.566
7,7,Kimi RäikkönenRAI,Ferrari,24,14:41:57,1:26.954,181.378
8,77,Valtteri BottasBOT,Williams Mercedes,51,15:27:12,1:27.058,181.161
9,13,Pastor MaldonadoMAL,Lotus Mercedes,62,15:43:17,1:27.130,181.012
10,14,Fernando AlonsoALO,McLaren Honda,67,15:50:13,1:27.311,180.637
11,33,Max VerstappenVER,STR Renault,62,15:42:47,1:27.650,179.938
12,9,Marcus EricssonERI,Sauber Ferrari,60,15:40:09,1:28.004,179.214
13,27,Nico HulkenbergHUL,Force India Mercedes,38,15:03:42,1:28.074,179.072
14,8,Romain GrosjeanGRO,Lotus Mercedes,60,15:40:03,1:28.080,179.059
15,12,Felipe NasrNAS,Sauber Ferrari,51,15:26:54,1:28.268,178.678
16,11,Sergio PerezPER,Force India Mercedes,51,15:26:55,1:28.499,178.212
17,22,Jenson ButtonBUT,McLaren Honda,65,15:47:31,1:28.535,178.139
18,55,Carlos SainzSAI,STR Renault,38,15:04:03,1:28.611,177.986
19,28,Will StevensSTE,Marussia Ferrari,56,15:36:42,1:29.543,176.134
20,98,Roberto MerhiMER,Marussia Ferrari,59,15:40:38,1:29.868,175.497
